source_generator,num_candidates,num_unique_inchikeys,novel_fraction,basic_filter_pass_fraction,macrocycle_fraction,constrained_ring_fraction,median_mw,median_logp,median_qed,median_sa_score
v5_3_model_guided_macrocycle,114,114,1.0,1.0,1.0,0.0,481.132,3.0185,0.414,4.906
ALL,114,114,1.0,1.0,1.0,0.0,481.132,3.0185,0.414,4.906
