parent_mol_id,seed_smiles,status,atom_a,atom_b,path_bonds,linker_length,target_ring,anchor_score_a,anchor_score_b,linker_probability,chemotype,generated_smiles,candidate_id,inchikey
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,duplicate_or_invalid_record,19.0,26.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,aza,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CC3)CNCC3CC32)C1,,
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,duplicate_or_invalid_record,19.0,26.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,alkyl,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CCCC4CC42)CC3)C1,,
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,duplicate_or_invalid_record,19.0,26.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,oxa_aza,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CCCC4CC42)CC3)C1,,
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,duplicate_or_invalid_record,19.0,26.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,oxa,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CC3)COCC3CC32)C1,,
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,valid_output,24.0,20.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,thioether,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3CSCC23CC3)C1,CAND_38de1fc846,YLWJLPCJNFQMCO-YGFYOVKCSA-N
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,valid_output,24.0,20.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,oxa,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3COCC23CC3)C1,CAND_c71340cdb2,RGFMCTZPJBFCLO-YGFYOVKCSA-N
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,valid_output,24.0,20.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,aza,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3CNCC23CC3)C1,CAND_492981f42f,IPHWYJUXNGKNHB-YGFYOVKCSA-N
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,valid_output,24.0,20.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,alkyl,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3CCCC23CC3)C1,CAND_584cb6401d,HOMDVHDDTYNNLA-URGFFDDHSA-N
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,duplicate_or_invalid_record,24.0,20.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,oxa_aza,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3CCCC23CC3)C1,,
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,duplicate_or_invalid_record,24.0,21.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,oxa,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3COCC23CC3)C1,,
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,duplicate_or_invalid_record,24.0,21.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,aza,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3CNCC23CC3)C1,,
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,duplicate_or_invalid_record,24.0,21.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,thioether,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3CSCC23CC3)C1,,
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,duplicate_or_invalid_record,24.0,21.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,oxa_aza,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3CCCC23CC3)C1,,
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,duplicate_or_invalid_record,24.0,21.0,9.0,3.0,12.0,0.821771,0.67828,0.278291,alkyl,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3CCCC23CC3)C1,,
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,ring_closure_failed,2.0,19.0,11.0,6.0,17.0,0.821771,0.821771,0.212838,oxa_aza,,,
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,ring_closure_failed,2.0,19.0,11.0,6.0,17.0,0.821771,0.821771,0.212838,thioether,,,
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,ring_closure_failed,2.0,19.0,11.0,6.0,17.0,0.821771,0.821771,0.212838,aza,,,
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,ring_closure_failed,2.0,19.0,11.0,6.0,17.0,0.821771,0.821771,0.212838,alkyl,,,
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,ring_closure_failed,2.0,19.0,11.0,6.0,17.0,0.821771,0.821771,0.212838,oxa,,,
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,valid_output,19.0,4.0,10.0,3.0,13.0,0.821771,0.67828,0.234081,aza,N#C[C@@H]1CC2CNCC3(CC3)c3cnc4[nH]cc(c4n3)C(=O)N[C@H](C3CC3)C(=O)N2C1,CAND_010738c49b,GDOIQDMSOKVZOZ-WAPNNBGYSA-N
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,valid_output,19.0,4.0,10.0,3.0,13.0,0.821771,0.67828,0.234081,oxa,N#C[C@@H]1CC2COCC3(CC3)c3cnc4[nH]cc(c4n3)C(=O)N[C@H](C3CC3)C(=O)N2C1,CAND_1e356c92c8,CJARQMPCFPOYTL-WAPNNBGYSA-N
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,valid_output,19.0,4.0,10.0,3.0,13.0,0.821771,0.67828,0.234081,alkyl,N#C[C@@H]1CC2CCCC3(CC3)c3cnc4[nH]cc(c4n3)C(=O)N[C@H](C3CC3)C(=O)N2C1,CAND_6f5c819abf,SZNOMDJPNRVXHW-PLXAZLAVSA-N
JAK2_69b6c7ad6e,N#C[C@@H]1CCN(C(=O)[C@H](NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,valid_output,19.0,4.0,10.0,3.0,13.0,0.821771,0.67828,0.234081,thioether,N#C[C@@H]1CC2CSCC3(CC3)c3cnc4[nH]cc(c4n3)C(=O)N[C@H](C3CC3)C(=O)N2C1,CAND_bb18276fcc,LPLMSPHZWKDSFN-WAPNNBGYSA-N
JAK2_a36c03bfb1,CN1CCN(c2ccc(Nc3ncc4ccc(-c5cccc(S(=O)(=O)NC(C)(C)C)c5)n4n3)cc2)CC1,no_valid_anchor_pair,,,,,,,,,,,,
JAK2_364f20ca75,COc1ccccc1-c1ccc2cnc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nn12,no_valid_anchor_pair,,,,,,,,,,,,
JAK2_ccf270f33b,COc1ccccc1-c1ccc2cnc(Nc3cccc(N4CCOCC4)c3)nn12,no_valid_anchor_pair,,,,,,,,,,,,
JAK2_2c9dc917e3,C[C@H](O)CN1CCN(c2ccc(Nc3ncc4ccc(-c5cccc(S(=O)(=O)NC(C)(C)C)c5)n4n3)cc2F)CC1,no_valid_anchor_pair,,,,,,,,,,,,
