source_generator,num_candidates,num_unique_inchikeys,novel_fraction,basic_filter_pass_fraction,macrocycle_fraction,constrained_ring_fraction,median_mw,median_logp,median_qed,median_sa_score
v5_3_model_guided_macrocycle,68,68,1.0,1.0,1.0,0.0,519.671,3.3281,0.369,5.075
ALL,68,68,1.0,1.0,1.0,0.0,519.671,3.3281,0.369,5.075
