epoch,train_loss,val_loss,train_f1,val_f1,val_precision,val_recall
1,1.3314697742462158,1.3314446210861206,0.076068,0.15301,0.086987,0.634899
2,1.3245158195495605,1.3247954845428467,0.118204,0.127525,0.068105,1.0
3,1.3179380893707275,1.3184213638305664,0.117242,0.127525,0.068105,1.0
4,1.3115782737731934,1.3122549057006836,0.11468,0.127525,0.068105,1.0
5,1.3054351806640625,1.3062405586242676,0.114749,0.127525,0.068105,1.0
6,1.2994914054870605,1.3003296852111816,0.117213,0.127525,0.068105,1.0
7,1.2935220003128052,1.2944782972335815,0.120634,0.127525,0.068105,1.0
8,1.2876888513565063,1.2886475324630737,0.123871,0.164524,0.102097,0.423437
9,1.2819230556488037,1.2828031778335571,0.143477,0.15301,0.086987,0.634899
10,1.2760196924209595,1.2769153118133545,0.153119,0.15301,0.086987,0.634899
11,1.2700542211532593,1.2709579467773438,0.155302,0.15301,0.086987,0.634899
12,1.2641388177871704,1.264910101890564,0.157687,0.15301,0.086987,0.634899
13,1.258028268814087,1.2587536573410034,0.161035,0.161673,0.089725,0.816006
14,1.2518755197525024,1.2524744272232056,0.163507,0.162549,0.089423,0.891927
15,1.2454737424850464,1.246061086654663,0.165455,0.165732,0.090513,0.980811
16,1.239077091217041,1.239505648612976,0.16635,0.165732,0.090513,0.980811
17,1.2325091361999512,1.232802391052246,0.166685,0.165732,0.090513,0.980811
18,1.225711464881897,1.2259479761123657,0.167276,0.165732,0.090513,0.980811
19,1.2187589406967163,1.218941330909729,0.167521,0.165732,0.090513,0.980811
20,1.211680293083191,1.2117831707000732,0.167699,0.165732,0.090513,0.980811
21,1.2044938802719116,1.204475998878479,0.167826,0.165732,0.090513,0.980811
22,1.1971404552459717,1.1970235109329224,0.167798,0.165732,0.090513,0.980811
23,1.1894950866699219,1.189429521560669,0.16774,0.165732,0.090513,0.980811
24,1.1818208694458008,1.1816991567611694,0.167759,0.165732,0.090513,0.980811
25,1.1740570068359375,1.1738380193710327,0.167915,0.165732,0.090513,0.980811
26,1.166068196296692,1.1658514738082886,0.168003,0.165732,0.090513,0.980811
27,1.1580753326416016,1.1577459573745728,0.168082,0.165732,0.090513,0.980811
28,1.1499199867248535,1.1495280265808105,0.168384,0.165732,0.090513,0.980811
29,1.1415737867355347,1.1412053108215332,0.168499,0.165732,0.090513,0.980811
30,1.1332091093063354,1.132786750793457,0.168542,0.165732,0.090513,0.980811
31,1.1248177289962769,1.1242831945419312,0.168565,0.165732,0.090513,0.980811
32,1.116206407546997,1.1157071590423584,0.168574,0.165732,0.090513,0.980811
33,1.1075947284698486,1.1070735454559326,0.168578,0.165732,0.090513,0.980811
34,1.0988086462020874,1.0983989238739014,0.168582,0.165732,0.090513,0.980811
35,1.0902689695358276,1.0897020101547241,0.168581,0.165732,0.090513,0.980811
36,1.0813007354736328,1.0810025930404663,0.168581,0.165732,0.090513,0.980811
37,1.0727564096450806,1.0723217725753784,0.168581,0.165732,0.090513,0.980811
38,1.063931941986084,1.0636799335479736,0.168582,0.165732,0.090513,0.980811
39,1.0552465915679932,1.0550975799560547,0.168581,0.165732,0.090513,0.980811
40,1.0465537309646606,1.0465939044952393,0.168582,0.165732,0.090513,0.980811
41,1.0380644798278809,1.0381879806518555,0.168582,0.165732,0.090513,0.980811
42,1.0296605825424194,1.029897689819336,0.168582,0.165732,0.090513,0.980811
43,1.021217703819275,1.0217405557632446,0.16858,0.165732,0.090513,0.980811
44,1.0133061408996582,1.0137349367141724,0.168583,0.165732,0.090513,0.980811
45,1.005139946937561,1.005898118019104,0.168582,0.165732,0.090513,0.980811
46,0.9972227811813354,0.9982472658157349,0.168583,0.165732,0.090513,0.980811
47,0.9894055128097534,0.9907992482185364,0.16858,0.165732,0.090513,0.980811
48,0.9817672967910767,0.9835699796676636,0.168583,0.165732,0.090513,0.980811
49,0.9749581217765808,0.9765758514404297,0.168583,0.165732,0.090513,0.980811
50,0.9680023193359375,0.9698299169540405,0.168581,0.165732,0.090513,0.980811
51,0.9612072110176086,0.9633427858352661,0.168583,0.165732,0.090513,0.980811
52,0.9546309113502502,0.9571242928504944,0.168582,0.165732,0.090513,0.980811
53,0.9484073519706726,0.9511818885803223,0.168581,0.166887,0.09636,0.622513
54,0.9426369071006775,0.945523202419281,0.168582,0.167893,0.095813,0.677833
55,0.9370532035827637,0.9401511549949646,0.168583,0.167893,0.095813,0.677833
