candidate_id,smiles,docking_engine,receptor_pdb,grid_center_x,grid_center_y,grid_center_z,grid_size_x,grid_size_y,grid_size_z,best_score,pose_rank,pose_file,pose_image,control_or_generated,notes
CAND_2f2a0d40fd,NC(=O)c1cnc2c3c1[nH]c1cc(ccc13)-c1ccc(nn1)N1CCS(=O)(=O)C(COCC3(CC3)[C@H](C(F)(F)F)N2)C1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-8.1,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_2f2a0d40fd_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_34ad2a24d8,O=C1Nc2c[nH]nc2-c2nc3ccc(cc3[nH]2)CN2CCOCC2CCNCCCC2(CC2)N1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-7.7,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_34ad2a24d8_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_35c4ee0b09,NC(=O)c1cnc2c3c1[nH]c1cc(ccc13)-c1ccc(nn1)N1CCS(=O)(=O)CC1CSCC1(CC1)[C@H](C(F)(F)F)N2,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-8.4,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_35c4ee0b09_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_38de1fc846,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3CSCC23CC3)C1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-8.5,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_38de1fc846_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_396f994be3,CN1CCN2c3ccc(cn3)-c3cnc4cccc(c4n3)-c3cc(F)c(c(F)c3)CN3CCS(=O)(=O)CC3CCCC2C1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-11.4,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_396f994be3_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_3b164e0480,Fc1cc2cc(F)c1CN1CCOCC1CNCC1(CCNCC1)n1cc(cn1)-c1cnc3cccc-2c3n1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-10.5,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_3b164e0480_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_3c64f44e76,CN1CCN2c3ccc(cn3)-c3cnc4cccc(c4n3)-c3cc(F)c(c(F)c3)CN3CCS(=O)(=O)CC3COCC2C1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-11.3,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_3c64f44e76_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_3fc0103e7e,Cc1cnc2nc1-c1cccc(c1)COCC1=CCOCc3cc(ccc3OCCN3CCCC3CNC1)N2,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-8.0,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_3fc0103e7e_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_423486dce5,N#CC1CN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CCCCCC24CC4)CC3)C1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-8.8,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_423486dce5_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_44327fe5a9,N#C[C@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CCCC4CC42)CC3)C1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-8.8,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_44327fe5a9_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_453a8d70ca,O=C1Nc2c[nH]nc2-c2nc3ccc(cc3[nH]2)CN2CCOCC2CNCOCC2(CC2)N1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-8.6,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_453a8d70ca_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_454e8d3cd4,CN1CCN2c3ccc(cc3)-c3cnc4cccc(c4n3)-c3cc(F)c(c(F)c3)CN3CCOCC3CCCC2C1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-10.9,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_454e8d3cd4_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_4791e858cc,N#CC12CCCOCCC3(CC3)c3cnc4[nH]cc(c4n3)C(=O)N[C@H](C3CC3)C(=O)N(C1)C2,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-8.3,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_4791e858cc_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_492981f42f,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3CNCC23CC3)C1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-8.0,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_492981f42f_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_49e76c18fa,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CCCC4CC42)CC3)C1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-8.4,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_49e76c18fa_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_4b65fa0278,Cc1cnc2nc1-c1cccc(c1)COCC1=CCOCc3cc(ccc3OCCN3CCCC3COC1)N2,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-7.6,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_4b65fa0278_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_4e8257bdee,CC(C)(C)[C@H]1NC(=O)c2c[nH]c3ncc(nc23)C2(CCCNCCC3(C#N)CN(C3)C1=O)CC2,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-8.3,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_4e8257bdee_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_4ea78847f9,CC(C)(C)[C@H]1NC(=O)c2c[nH]c3ncc(nc23)C2(CC2)COCC2(C#N)CN(C2)C1=O,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-8.5,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_4ea78847f9_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_5152217faa,Fc1cc2cc(F)c1CN1CCOCC1CCCC1(CCNCC1)n1cc(cn1)-c1cnc3cccc-2c3n1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-11.4,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_5152217faa_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_53308bee89,N#CC1CN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CC3)COCNCC23CC3)C1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-8.0,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_53308bee89_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_5580e1eed5,Fc1cc2cc(F)c1CN1CCOCC1COCC1CNCCC1n1cc(cn1)-c1cnc3cccc-2c3n1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-10.5,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_5580e1eed5_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_5682a4f941,NC(=O)c1cnc2c3c1[nH]c1cc(ccc13)-c1ccc(nn1)N1CCS(=O)(=O)CC1CNCC1CC1[C@H](C(F)(F)F)N2,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-8.6,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_5682a4f941_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_581788b33e,C1=C2\CCCC3CCN(CCOc4ccc(cc4COC2)Nc2nccc(n2)-c2ccc(s2)COC/1)C3,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-7.1,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_581788b33e_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_584cb6401d,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3CCCC23CC3)C1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-8.6,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_584cb6401d_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_598172bd63,Fc1cc2cc(F)c1CN1CCOCC1CCCC1CNCCC1n1cc(cn1)-c1cnc3cccc-2c3n1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-11.3,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_598172bd63_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_5a164fb16c,N#C[C@@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CC3)CSCC3CC32)C1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-8.2,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_5a164fb16c_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_5abda62ff8,Cc1cnc2nc1-c1cccc(c1)COCC=C1COCc3cc(ccc3OCCN3CCC(CSC1)C3)N2,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-7.8,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_5abda62ff8_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_5c64fa89d0,C1=C2\CCCC3CCCN3CCOc3ccc(cc3COC/1)Nc1nccc(n1)-c1ccc(s1)COC2,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-7.4,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_5c64fa89d0_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_5fdf8771a8,CC(C)(C)[C@H]1NC(=O)c2c[nH]c3ncc(nc23)C2(CCCSCCC3(C#N)CN(C3)C1=O)CC2,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-8.1,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_5fdf8771a8_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_61168e1ccf,Cc1cnc2nc1-c1cccc(c1)COCC=C1COCc3cc(ccc3OCCN3CCC(COC1)C3)N2,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-8.0,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_61168e1ccf_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_637465f4e1,NC(=O)c1cnc2c3c1[nH]c1cc(ccc13)-c1ccc(nn1)N1CCS(=O)(=O)CC1CCCC1(CC1)[C@H](C(F)(F)F)N2,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-8.1,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_637465f4e1_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_661d99e302,CC(C)(C)[C@H]1NC(=O)c2c[nH]c3ncc(nc23)C2(CC2)CSCC2C(C#N)CN2C1=O,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-8.0,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_661d99e302_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_67bc1f8ccd,C1=C2\CNCC3CCCN3CCOc3ccc(cc3COC/1)Nc1nccc(n1)-c1ccc(s1)COC2,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-7.7,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_67bc1f8ccd_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_67e4c4c09b,N#CC12CCCSCCC3(CC3)c3cnc4[nH]cc(c4n3)C(=O)N[C@H](C3CC3)C(=O)N(C1)C2,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-8.3,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_67e4c4c09b_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_69ce89568d,C1=C2/COCc3cc(ccc3OCCN3CCC(COC2)C3)Nc2nccc(n2)-c2ccc(s2)COC/1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-7.3,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_69ce89568d_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_6c9b69bfe2,N#C[C@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3CC3COCC23CC3)C1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-8.2,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_6c9b69bfe2_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_6cb1768675,N#CC1CN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CCNCCC24CC4)CC3)C1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-7.8,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_6cb1768675_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_6d30b04ba5,N#C[C@H]1CCN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CC3)COCC3CC32)C1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-8.5,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_6d30b04ba5_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_6e7e0ee6d7,Cc1cnc2nc1-c1cccc(c1)COCC=C1CCCC3CCCN3CCOc3ccc(cc3COC1)N2,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-8.2,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_6e7e0ee6d7_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_6f5c819abf,N#C[C@@H]1CC2CCCC3(CC3)c3cnc4[nH]cc(c4n3)C(=O)N[C@H](C3CC3)C(=O)N2C1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-9.1,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_6f5c819abf_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_72609efe2c,C1=C2/COCc3cc(ccc3OCCN3CCCC3COC2)Nc2nccc(n2)-c2ccc(s2)COC/1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-7.4,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_72609efe2c_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_76774df791,N#C[C@H]1CC2COCC3(CC3)c3cnc4[nH]cc(c4n3)C(=O)N[C@H](C3CC3)C(=O)N2C1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-8.7,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_76774df791_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_79995adf19,NC(=O)c1cnc2c3c1[nH]c1cc(ccc13)-c1ccc(nn1)N1CCS(=O)(=O)C(CSCC3(CC3)[C@H](C(F)(F)F)N2)C1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-9.4,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_79995adf19_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_7f6895293f,NC(=O)c1cnc2c3c1[nH]c1cc(ccc13)-c1ccc(nn1)N1CCS(=O)(=O)CC1CCCC1CC1[C@H](C(F)(F)F)N2,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-9.9,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_7f6895293f_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
CAND_7f7760bbec,N#C[C@H]1CC2CCCC3(CC3)c3cnc4[nH]cc(c4n3)C(=O)N[C@H](C3CC3)C(=O)N2C1,vina_gpu_2_1,5AEP,32.53,13.271,-3.863,18.0,18.0,18.0,-8.3,1,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/poses/CAND_7f7760bbec_vina_out.pdbqt,,generated,parsed_vina_gpu_2_1
