source_generator,num_candidates,num_unique_inchikeys,novel_fraction,basic_filter_pass_fraction,macrocycle_fraction,constrained_ring_fraction,median_mw,median_logp,median_qed,median_sa_score
v5_5_pocket_guided,1113,1113,1.0,1.0,1.0,0.0,497.646,4.3007,0.3913,4.77
ALL,1113,1113,1.0,1.0,1.0,0.0,497.646,4.3007,0.3913,4.77
