epoch,train_loss,val_size_exact_accuracy,val_size_within_one_accuracy,val_chemo_accuracy,val_combined
117,1.607614,0.504607,0.761637,0.705995,0.73938
118,1.597896,0.466555,0.731842,0.705516,0.721311
119,1.600109,0.490128,0.758526,0.719756,0.743018
120,1.601661,0.498983,0.762235,0.702525,0.738351
121,1.580181,0.490008,0.754816,0.721192,0.741367
122,1.585558,0.494555,0.754936,0.719038,0.740577
123,1.582714,0.496829,0.74656,0.716286,0.73445
124,1.576955,0.493838,0.754098,0.727773,0.743568
125,1.584026,0.477923,0.734354,0.674046,0.710231
126,1.576096,0.486299,0.745243,0.716166,0.733613
127,1.57728,0.502573,0.752184,0.708747,0.734809
128,1.565951,0.493718,0.752902,0.697499,0.730741
129,1.568902,0.50365,0.756372,0.728132,0.745076
130,1.561217,0.50365,0.753859,0.71126,0.736819
131,1.54987,0.505086,0.756492,0.724303,0.743616
132,1.555063,0.505205,0.756851,0.708628,0.737561
133,1.562096,0.500419,0.766902,0.717482,0.747134
134,1.548299,0.490726,0.753021,0.703362,0.733158
135,1.54607,0.508316,0.759363,0.706833,0.738351
136,1.546121,0.497427,0.754098,0.70061,0.732703
137,1.545912,0.504607,0.763671,0.725141,0.748259
138,1.536922,0.500897,0.758406,0.707311,0.737968
139,1.527558,0.506043,0.761757,0.716645,0.743712
140,1.535102,0.506402,0.75709,0.725141,0.74431
141,1.534489,0.506641,0.762355,0.696661,0.736078
142,1.524348,0.504727,0.764509,0.723824,0.748235
143,1.522828,0.509752,0.765945,0.72538,0.749719
144,1.517986,0.509513,0.762235,0.730406,0.749503
145,1.516898,0.503171,0.766782,0.699414,0.739835
146,1.516481,0.515616,0.768817,0.722029,0.750102
147,1.50791,0.511547,0.764269,0.716286,0.745076
148,1.502667,0.512744,0.764389,0.712337,0.743568
149,1.50747,0.506641,0.759483,0.727893,0.746847
150,1.499725,0.512385,0.765945,0.698337,0.738902
151,1.494793,0.51406,0.7675,0.72179,0.749216
152,1.496356,0.519086,0.769535,0.72167,0.750389
153,1.483602,0.51071,0.764269,0.725021,0.74857
154,1.488794,0.503291,0.765346,0.729927,0.751179
155,1.486372,0.512146,0.773244,0.736269,0.758454
156,1.480243,0.511188,0.768458,0.720474,0.749264
157,1.479009,0.515376,0.775278,0.725859,0.75551
158,1.476801,0.516812,0.764748,0.72873,0.750341
159,1.476677,0.504487,0.764868,0.722029,0.747732
160,1.466639,0.514299,0.760201,0.729688,0.747996
161,1.475424,0.52459,0.770252,0.711619,0.746799
162,1.468434,0.517052,0.768817,0.717722,0.748379
163,1.464447,0.493239,0.762235,0.738782,0.752854
164,1.465179,0.508197,0.773244,0.730645,0.756204
165,1.45867,0.501855,0.766423,0.728012,0.751059
166,1.458628,0.508436,0.765346,0.725021,0.749216
167,1.455603,0.528778,0.778629,0.722987,0.756372
168,1.46223,0.511667,0.765227,0.733517,0.752543
169,1.447353,0.518368,0.769176,0.727175,0.752375
170,1.440568,0.515735,0.769654,0.729209,0.753476
171,1.448428,0.522556,0.775757,0.734354,0.759196
172,1.437126,0.515975,0.762834,0.71114,0.742156
173,1.439912,0.519325,0.77468,0.722269,0.753715
174,1.432508,0.517171,0.769176,0.72526,0.751609
175,1.426403,0.518248,0.770252,0.730884,0.754505
176,1.434749,0.516453,0.763193,0.730166,0.749982
177,1.426218,0.522077,0.771688,0.740457,0.759196
178,1.435353,0.522795,0.778629,0.737944,0.762355
179,1.42438,0.52818,0.770611,0.733876,0.755917
180,1.426435,0.519445,0.775877,0.726577,0.756157
181,1.412044,0.519445,0.77468,0.712217,0.749695
182,1.418722,0.519325,0.77097,0.730765,0.754888
183,1.412023,0.533325,0.781261,0.736389,0.763312
184,1.413554,0.525906,0.776953,0.733995,0.75977
185,1.411156,0.516094,0.772765,0.739141,0.759316
186,1.40399,0.522317,0.775757,0.741773,0.762163
187,1.409044,0.527223,0.775637,0.731961,0.758167
188,1.402488,0.537513,0.785449,0.736628,0.765921
189,1.407001,0.518607,0.772167,0.72873,0.754792
190,1.401174,0.536197,0.777911,0.711499,0.751346
191,1.401,0.524231,0.777791,0.738901,0.762235
192,1.398151,0.532847,0.777432,0.719038,0.754074
193,1.402248,0.512863,0.771808,0.747397,0.762044
194,1.395267,0.53177,0.78521,0.725978,0.761517
195,1.398661,0.518129,0.777432,0.731722,0.759148
196,1.3922,0.531052,0.774441,0.739859,0.760608
197,1.393044,0.537992,0.784492,0.745124,0.768745
198,1.386403,0.534881,0.785569,0.72885,0.762881
199,1.39147,0.530334,0.782936,0.728611,0.761206
200,1.381689,0.530932,0.781381,0.736508,0.763432
201,1.384374,0.529257,0.781381,0.738423,0.764198
202,1.379437,0.530573,0.78162,0.743808,0.766495
203,1.37333,0.527582,0.777073,0.73591,0.760608
204,1.375044,0.535599,0.779586,0.731842,0.760488
205,1.37409,0.532129,0.782936,0.72897,0.76135
206,1.366158,0.535958,0.780424,0.724542,0.758071
207,1.370224,0.535958,0.784851,0.740816,0.767237
208,1.371036,0.526385,0.781022,0.74991,0.768577
209,1.359911,0.533325,0.779586,0.738064,0.762977
210,1.364921,0.530214,0.784731,0.74309,0.768075
211,1.359386,0.54242,0.784731,0.742491,0.767835
212,1.353333,0.518607,0.778748,0.744885,0.765203
213,1.353283,0.522915,0.771569,0.736269,0.757449
214,1.356402,0.516573,0.769654,0.730884,0.754146
215,1.354199,0.53512,0.777193,0.710183,0.750389
216,1.352068,0.531052,0.783774,0.742731,0.767357
217,1.361728,0.526385,0.777791,0.738543,0.762092
218,1.353196,0.530095,0.776714,0.741295,0.762546
219,1.34433,0.532847,0.78174,0.745842,0.767381
220,1.340288,0.526265,0.779706,0.730406,0.759986
221,1.345371,0.529257,0.7748,0.72885,0.75642
222,1.343746,0.539308,0.784372,0.745842,0.76896
223,1.336715,0.521,0.772167,0.745961,0.761685
224,1.336376,0.534522,0.773483,0.742013,0.760895
225,1.338666,0.539069,0.781022,0.742731,0.765705
226,1.342322,0.540625,0.782936,0.747996,0.76896
227,1.33464,0.535479,0.779825,0.742013,0.7647
228,1.335766,0.530813,0.777671,0.734713,0.760488
229,1.337577,0.544813,0.787484,0.740337,0.768625
230,1.325526,0.537872,0.777552,0.741055,0.762953
231,1.321708,0.541702,0.785808,0.748953,0.771066
232,1.327217,0.542061,0.786526,0.734235,0.76561
233,1.32246,0.53883,0.786766,0.748833,0.771593
234,1.326267,0.54912,0.791672,0.743927,0.772574
235,1.327578,0.533565,0.780304,0.753141,0.769439
236,1.318824,0.532966,0.777791,0.747876,0.765825
237,1.317864,0.527821,0.781381,0.731004,0.76123
238,1.319557,0.538949,0.785569,0.759363,0.775087
239,1.317766,0.522197,0.772167,0.738303,0.758622
240,1.316418,0.529377,0.776834,0.747876,0.765251
241,1.315862,0.542778,0.789637,0.755295,0.7759
242,1.311879,0.542539,0.785808,0.744286,0.769199
243,1.305728,0.538351,0.786885,0.748833,0.771664
244,1.310337,0.525547,0.774321,0.748115,0.763839
245,1.303505,0.538231,0.783415,0.750748,0.770348
