candidate_id,qed,sa_score,mw,logp,tpsa,hbd,hba,rotatable_bonds,lipinski_violations,veber_pass,admet_score,synthesis_score,safety_proxy_score,main_risk
CAND_e2f1a9f8cd,0.3525,4.091,474.431,2.234,126.44,2,7,0,0,True,0.708625,0.656556,1.0,no_major_descriptor_risk
CAND_cf7d3d5ac2,0.383,3.997,457.444,3.5355,105.18,1,5,0,0,True,0.72235,0.667,1.0,no_major_descriptor_risk
CAND_6c9f919126,0.3525,4.091,474.431,2.234,126.44,2,7,0,0,True,0.708625,0.656556,1.0,no_major_descriptor_risk
CAND_09f36916c1,0.3702,4.993,503.697,5.7276,66.07,2,7,3,2,True,0.51859,0.556333,1.0,2_lipinski_violations
CAND_5d778026cc,0.3576,5.092,517.724,5.7701,66.07,2,7,3,2,True,0.51292,0.545333,1.0,2_lipinski_violations
CAND_48dc8c5ba1,0.3282,5.365,531.751,6.1602,66.07,2,7,3,2,True,0.49969,0.515,1.0,2_lipinski_violations
CAND_3d744ad231,0.3702,4.993,503.697,5.7276,66.07,2,7,3,2,True,0.51859,0.556333,1.0,2_lipinski_violations
CAND_ca0a13c54e,0.3576,5.092,517.724,5.7701,66.07,2,7,3,2,True,0.51292,0.545333,1.0,2_lipinski_violations
CAND_adf93ab1ae,0.3835,4.893,489.67,5.6851,66.07,2,7,3,1,True,0.623575,0.567444,1.0,1_lipinski_violations
CAND_c2fad985ce,0.3211,5.24,531.751,6.1602,66.07,2,7,2,2,True,0.496495,0.528889,1.0,2_lipinski_violations
CAND_8b17bffdfe,0.3499,4.967,517.724,5.7701,66.07,2,7,2,2,True,0.509455,0.559222,1.0,2_lipinski_violations
CAND_a39d167821,0.3622,4.868,503.697,5.7276,66.07,2,7,2,2,True,0.51499,0.570222,1.0,2_lipinski_violations
CAND_091eb210dc,0.4013,4.117,456.55,3.8249,87.33,3,7,1,0,True,0.730585,0.653667,1.0,no_major_descriptor_risk
CAND_0fcbc91443,0.4135,4.039,442.523,3.7824,87.33,3,7,1,0,True,0.736075,0.662333,1.0,no_major_descriptor_risk
CAND_c1d77bcdc8,0.2721,5.473,610.671,4.3331,141.76,3,9,3,1,False,0.490945,0.503,1.0,1_lipinski_violations;veber_fail
CAND_3927bfd90f,0.2599,5.551,624.698,4.7232,141.76,3,9,3,1,False,0.485455,0.494333,1.0,1_lipinski_violations;veber_fail
CAND_379cd58022,0.2498,5.562,626.739,4.8788,132.53,3,9,5,1,True,0.56341,0.493111,1.0,1_lipinski_violations
CAND_d6bad9c33f,0.1995,6.006,583.57,6.8669,99.35,3,7,3,2,True,0.441775,0.443778,0.9,2_lipinski_violations
CAND_9986e32201,0.1995,6.006,583.57,6.8669,99.35,3,7,3,2,True,0.441775,0.443778,0.9,2_lipinski_violations
CAND_e4ba124c43,0.2186,5.186,527.462,6.3493,99.35,3,7,1,2,True,0.45037,0.534889,1.0,2_lipinski_violations
CAND_74787930a2,0.2186,5.186,527.462,6.3493,99.35,3,7,1,2,True,0.45037,0.534889,1.0,2_lipinski_violations
CAND_93a943ef3a,0.1995,6.006,583.57,6.8669,99.35,3,7,3,2,True,0.441775,0.443778,0.9,2_lipinski_violations
CAND_c8f7f4613f,0.2186,5.186,527.462,6.3493,99.35,3,7,1,2,True,0.45037,0.534889,1.0,2_lipinski_violations
CAND_6da059e7f7,0.2019,5.061,527.462,6.3493,99.35,3,7,0,2,True,0.442855,0.548778,1.0,2_lipinski_violations
CAND_e6663fdb96,0.2453,4.503,477.355,5.7906,99.35,3,5,0,1,True,0.561385,0.610778,1.0,1_lipinski_violations
CAND_85aa8970a8,0.2019,5.061,527.462,6.3493,99.35,3,7,0,2,True,0.442855,0.548778,1.0,2_lipinski_violations
CAND_a1c1270b89,0.2116,5.285,541.489,6.3918,99.35,3,7,1,2,True,0.44722,0.523889,1.0,2_lipinski_violations
CAND_720380419b,0.2019,5.061,527.462,6.3493,99.35,3,7,0,2,True,0.442855,0.548778,1.0,2_lipinski_violations
CAND_7c9e4211b6,0.2186,5.186,527.462,6.3493,99.35,3,7,1,2,True,0.45037,0.534889,1.0,2_lipinski_violations
CAND_deff8b93de,0.2019,5.061,527.462,6.3493,99.35,3,7,0,2,True,0.442855,0.548778,1.0,2_lipinski_violations
CAND_2d29a49cf1,0.4398,4.014,415.449,3.3812,103.51,3,7,2,0,True,0.74791,0.665111,1.0,no_major_descriptor_risk
CAND_4287a61ab4,0.2702,4.589,496.6,4.0156,132.69,4,8,1,0,True,0.67159,0.601222,1.0,no_major_descriptor_risk
CAND_652ddc01da,0.313,4.508,479.613,5.276,111.43,3,6,2,1,True,0.59185,0.610222,1.0,1_lipinski_violations
CAND_959162d21f,0.2702,4.589,496.6,4.0156,132.69,4,8,1,0,True,0.67159,0.601222,1.0,no_major_descriptor_risk
CAND_765513bf54,0.313,4.508,479.613,5.276,111.43,3,6,2,1,True,0.59185,0.610222,1.0,1_lipinski_violations
CAND_3f5c5a0b6a,0.2702,4.589,496.6,4.0156,132.69,4,8,1,0,True,0.67159,0.601222,1.0,no_major_descriptor_risk
CAND_a6b0ddee55,0.2622,4.667,510.627,4.0581,132.69,4,8,1,1,True,0.56899,0.592556,1.0,1_lipinski_violations
CAND_49a2fb8b17,0.313,4.508,479.613,5.276,111.43,3,6,2,1,True,0.59185,0.610222,1.0,1_lipinski_violations
CAND_4b27962dcb,0.2702,4.589,496.6,4.0156,132.69,4,8,1,0,True,0.67159,0.601222,1.0,no_major_descriptor_risk
CAND_17a29591e5,0.2622,4.667,510.627,4.0581,132.69,4,8,1,1,True,0.56899,0.592556,1.0,1_lipinski_violations
CAND_a189d06501,0.313,4.508,479.613,5.276,111.43,3,6,2,1,True,0.59185,0.610222,1.0,1_lipinski_violations
CAND_1aead96a94,0.3154,5.824,651.262,5.0006,132.59,2,8,4,2,True,0.49393,0.464,1.0,2_lipinski_violations
CAND_f79304c333,0.3931,5.04,532.699,4.0321,114.33,2,9,5,1,True,0.627895,0.551111,1.0,1_lipinski_violations
CAND_a1a412f421,0.3466,5.352,588.807,4.5497,114.33,2,9,5,1,True,0.60697,0.516444,1.0,1_lipinski_violations
CAND_ad3632a446,0.3822,5.118,546.726,4.0746,114.33,2,9,5,1,True,0.62299,0.542444,1.0,1_lipinski_violations
CAND_41ebb3eac6,0.3822,5.118,546.726,4.0746,114.33,2,9,5,1,True,0.62299,0.542444,1.0,1_lipinski_violations
CAND_f5d65cfc38,0.3466,5.352,588.807,4.5497,114.33,2,9,5,1,True,0.60697,0.516444,1.0,1_lipinski_violations
CAND_4a99f159a8,0.3861,5.106,499.579,1.898,135.59,3,9,3,0,True,0.723745,0.543778,1.0,no_major_descriptor_risk
CAND_06a9217308,0.4228,5.201,516.631,3.0416,123.56,2,9,3,1,True,0.64126,0.533222,1.0,1_lipinski_violations
CAND_70b0ab2b05,0.3822,5.118,546.726,4.0746,114.33,2,9,5,1,True,0.62299,0.542444,1.0,1_lipinski_violations
CAND_4869d7bacd,0.3861,5.106,499.579,1.898,135.59,3,9,3,0,True,0.723745,0.543778,1.0,no_major_descriptor_risk
