candidate_id,lipinski_violations,veber_pass,main_risk
CAND_8f58782c4d,0,True,no_major_descriptor_risk
CAND_0ea6b3bd67,0,True,no_major_descriptor_risk
CAND_0f3be20d2f,0,True,no_major_descriptor_risk
CAND_aba9ac81c8,0,True,no_major_descriptor_risk
CAND_85fbfbf3db,0,True,no_major_descriptor_risk
CAND_59b9cb396b,0,True,no_major_descriptor_risk
CAND_b11643e912,0,True,no_major_descriptor_risk
CAND_7c716cbf2c,0,True,no_major_descriptor_risk
CAND_715e53ab6e,0,True,no_major_descriptor_risk
CAND_97d10b2bf0,0,True,no_major_descriptor_risk
CAND_ae3e5b7c5c,0,True,no_major_descriptor_risk
CAND_eee3e9a9b2,0,True,no_major_descriptor_risk
CAND_49672ce1f9,0,True,no_major_descriptor_risk
CAND_fefc918672,0,True,no_major_descriptor_risk
CAND_8a6617e03a,0,True,no_major_descriptor_risk
CAND_f11ff7167e,2,True,2_lipinski_violations
CAND_fd80188ca2,2,True,2_lipinski_violations
CAND_7de9ad38a2,1,True,1_lipinski_violations
CAND_d609b40c0f,1,True,1_lipinski_violations
CAND_8963515af2,1,True,1_lipinski_violations
CAND_c40fa5398d,1,True,1_lipinski_violations
CAND_19a536e3d2,1,True,1_lipinski_violations
CAND_e4823f5727,1,True,1_lipinski_violations
CAND_73d68e9fba,1,True,1_lipinski_violations
CAND_c78b3e4148,1,True,1_lipinski_violations
CAND_9e4ffceec9,2,True,2_lipinski_violations
CAND_fb3d46d368,2,True,2_lipinski_violations
CAND_b8e4d9515e,2,True,2_lipinski_violations
CAND_7c05d32b8d,1,True,1_lipinski_violations
CAND_9ba10771de,1,True,1_lipinski_violations
CAND_efe79e39a5,1,True,1_lipinski_violations
CAND_30f572f263,2,True,2_lipinski_violations
CAND_39ff2db598,2,True,2_lipinski_violations
CAND_047bf215c9,2,True,2_lipinski_violations
CAND_1e4806b1e8,2,True,2_lipinski_violations
CAND_3dfa95d1a2,1,True,1_lipinski_violations
CAND_ca7271b53b,1,True,1_lipinski_violations
CAND_0c68695d46,0,True,no_major_descriptor_risk
CAND_993cf43817,0,True,no_major_descriptor_risk
CAND_f9e5444988,0,True,no_major_descriptor_risk
CAND_a556a9df63,0,True,no_major_descriptor_risk
CAND_8dcd0c2abd,0,True,no_major_descriptor_risk
CAND_6e72f84e62,0,True,no_major_descriptor_risk
CAND_ce8d15fc15,0,True,no_major_descriptor_risk
CAND_7e8acdf14b,0,True,no_major_descriptor_risk
CAND_15a9335668,0,True,no_major_descriptor_risk
