candidate_id,safety_proxy_score,main_risk
CAND_8f58782c4d,1.0,no_major_descriptor_risk
CAND_0ea6b3bd67,1.0,no_major_descriptor_risk
CAND_0f3be20d2f,1.0,no_major_descriptor_risk
CAND_aba9ac81c8,1.0,no_major_descriptor_risk
CAND_85fbfbf3db,1.0,no_major_descriptor_risk
CAND_59b9cb396b,1.0,no_major_descriptor_risk
CAND_b11643e912,1.0,no_major_descriptor_risk
CAND_7c716cbf2c,1.0,no_major_descriptor_risk
CAND_715e53ab6e,1.0,no_major_descriptor_risk
CAND_97d10b2bf0,1.0,no_major_descriptor_risk
CAND_ae3e5b7c5c,1.0,no_major_descriptor_risk
CAND_eee3e9a9b2,1.0,no_major_descriptor_risk
CAND_49672ce1f9,1.0,no_major_descriptor_risk
CAND_fefc918672,1.0,no_major_descriptor_risk
CAND_8a6617e03a,1.0,no_major_descriptor_risk
CAND_f11ff7167e,1.0,2_lipinski_violations
CAND_fd80188ca2,1.0,2_lipinski_violations
CAND_7de9ad38a2,1.0,1_lipinski_violations
CAND_d609b40c0f,1.0,1_lipinski_violations
CAND_8963515af2,1.0,1_lipinski_violations
CAND_c40fa5398d,1.0,1_lipinski_violations
CAND_19a536e3d2,1.0,1_lipinski_violations
CAND_e4823f5727,1.0,1_lipinski_violations
CAND_73d68e9fba,1.0,1_lipinski_violations
CAND_c78b3e4148,1.0,1_lipinski_violations
CAND_9e4ffceec9,1.0,2_lipinski_violations
CAND_fb3d46d368,1.0,2_lipinski_violations
CAND_b8e4d9515e,1.0,2_lipinski_violations
CAND_7c05d32b8d,1.0,1_lipinski_violations
CAND_9ba10771de,1.0,1_lipinski_violations
CAND_efe79e39a5,1.0,1_lipinski_violations
CAND_30f572f263,1.0,2_lipinski_violations
CAND_39ff2db598,1.0,2_lipinski_violations
CAND_047bf215c9,1.0,2_lipinski_violations
CAND_1e4806b1e8,1.0,2_lipinski_violations
CAND_3dfa95d1a2,1.0,1_lipinski_violations
CAND_ca7271b53b,1.0,1_lipinski_violations
CAND_0c68695d46,1.0,no_major_descriptor_risk
CAND_993cf43817,1.0,no_major_descriptor_risk
CAND_f9e5444988,1.0,no_major_descriptor_risk
CAND_a556a9df63,1.0,no_major_descriptor_risk
CAND_8dcd0c2abd,1.0,no_major_descriptor_risk
CAND_6e72f84e62,1.0,no_major_descriptor_risk
CAND_ce8d15fc15,1.0,no_major_descriptor_risk
CAND_7e8acdf14b,1.0,no_major_descriptor_risk
CAND_15a9335668,1.0,no_major_descriptor_risk
CAND_1fb5702091,1.0,no_major_descriptor_risk
CAND_962906b23f,1.0,no_major_descriptor_risk
CAND_e2374410f0,1.0,no_major_descriptor_risk
CAND_5f15fcafbf,1.0,no_major_descriptor_risk
CAND_1641f8e1c6,1.0,1_lipinski_violations
CAND_8b249116f4,1.0,1_lipinski_violations
CAND_6505f7fae8,1.0,1_lipinski_violations
CAND_96365819ec,1.0,1_lipinski_violations;veber_fail
CAND_e31092dadf,1.0,1_lipinski_violations;veber_fail
CAND_d64ca99774,1.0,1_lipinski_violations
CAND_0e4a71ecf2,1.0,1_lipinski_violations
CAND_ca30483579,1.0,1_lipinski_violations
CAND_610f7f38c1,1.0,1_lipinski_violations
CAND_8b442635ee,1.0,2_lipinski_violations
CAND_730652f3ed,1.0,1_lipinski_violations
CAND_512a664d8c,1.0,1_lipinski_violations
CAND_a73b261e28,1.0,2_lipinski_violations
CAND_801f262b3b,1.0,1_lipinski_violations
CAND_b881c16a29,1.0,1_lipinski_violations
CAND_a312e81d35,1.0,no_major_descriptor_risk
CAND_3d37604b64,1.0,no_major_descriptor_risk
CAND_29378a1891,1.0,no_major_descriptor_risk
CAND_3771d2cd1e,1.0,1_lipinski_violations
CAND_61a009d8d5,1.0,no_major_descriptor_risk
CAND_b0f0b07bd6,1.0,no_major_descriptor_risk
CAND_5648602f83,1.0,no_major_descriptor_risk
CAND_0458e10347,1.0,no_major_descriptor_risk
CAND_cf287a9c63,1.0,no_major_descriptor_risk
CAND_635b03db22,1.0,no_major_descriptor_risk
CAND_8cce66ac10,1.0,no_major_descriptor_risk
CAND_017f50f348,1.0,no_major_descriptor_risk
CAND_4ff08f140a,1.0,no_major_descriptor_risk
CAND_ff7f42ba15,1.0,no_major_descriptor_risk
CAND_ec0aa042ad,1.0,no_major_descriptor_risk
CAND_6596fea968,1.0,no_major_descriptor_risk
CAND_a778cbbbb7,1.0,no_major_descriptor_risk
