candidate_id,qed,sa_score,mw,logp,tpsa,hbd,hba,rotatable_bonds,lipinski_violations,veber_pass,admet_score,synthesis_score,safety_proxy_score,main_risk
CAND_86888a151b,0.2554,3.876,462.635,3.8658,79.0,1,6,13,0,False,0.58243,0.680444,1.0,veber_fail
CAND_6f60aa28e9,0.496,4.017,519.631,1.1473,134.72,3,8,7,1,True,0.6742,0.664778,1.0,1_lipinski_violations
CAND_ad2c0f12d0,0.4076,3.592,456.572,0.7398,125.1,2,8,8,0,True,0.73342,0.712,1.0,no_major_descriptor_risk
CAND_25835c868c,0.3804,4.387,509.636,1.5209,138.57,3,7,10,1,True,0.62218,0.623667,1.0,1_lipinski_violations
CAND_6d30732c1c,0.0911,4.515,487.674,3.0358,113.38,6,9,15,1,False,0.409495,0.609444,1.0,1_lipinski_violations;veber_fail
CAND_ad23ea1c2c,0.4979,3.951,507.62,2.0797,125.93,2,8,7,1,True,0.675055,0.672111,1.0,1_lipinski_violations
CAND_d7a0660828,0.3605,3.62,416.591,2.4683,87.79,2,6,8,0,True,0.712225,0.708889,1.0,no_major_descriptor_risk
CAND_87a937c65a,0.32,4.245,506.632,3.2832,122.69,2,7,11,1,False,0.5125,0.639444,1.0,1_lipinski_violations;veber_fail
CAND_84b88b9bc8,0.6073,4.562,482.61,1.3721,124.85,2,7,7,0,True,0.823285,0.604222,1.0,no_major_descriptor_risk
CAND_fd7adc3514,0.6884,3.6,435.553,4.1342,70.48,2,8,5,0,True,0.85978,0.711111,1.0,no_major_descriptor_risk
CAND_eaefd8b632,0.5172,3.425,435.553,2.5711,72.71,3,6,6,0,True,0.78274,0.730556,1.0,no_major_descriptor_risk
CAND_7d0a5bde2c,0.86,3.147,376.46,2.8483,63.32,1,6,2,0,True,0.937,0.761444,1.0,no_major_descriptor_risk
CAND_d7cbde2d84,0.4747,3.211,419.51,4.5908,63.92,1,7,5,0,True,0.763615,0.754333,1.0,no_major_descriptor_risk
CAND_395a83733f,0.773,3.075,275.287,2.3912,70.37,2,6,1,0,True,0.89785,0.769444,1.0,no_major_descriptor_risk
CAND_388f388d00,0.7632,2.902,377.448,2.6677,81.48,3,7,4,0,True,0.89344,0.788667,1.0,no_major_descriptor_risk
CAND_6efc5a9034,0.5461,3.611,401.47,3.9609,64.44,1,6,5,0,True,0.795745,0.709889,1.0,no_major_descriptor_risk
CAND_6b79cdc3df,0.6141,3.283,378.476,3.8431,64.2,2,4,7,0,True,0.826345,0.746333,1.0,no_major_descriptor_risk
CAND_aab523eb46,0.2801,3.747,394.479,2.5152,88.59,3,6,10,0,True,0.676045,0.694778,1.0,no_major_descriptor_risk
CAND_c36fc63ebc,0.7323,3.997,403.486,2.729,71.84,3,6,4,0,True,0.879535,0.667,1.0,no_major_descriptor_risk
CAND_5fd346b7a8,0.8934,3.477,377.448,2.7469,63.38,1,6,3,0,True,0.95203,0.724778,1.0,no_major_descriptor_risk
CAND_463960bec6,0.717,3.414,433.537,4.1879,61.69,1,8,2,0,True,0.87265,0.731778,1.0,no_major_descriptor_risk
CAND_a8241d348f,0.3256,4.423,448.571,1.7848,130.69,5,6,7,0,True,0.69652,0.619667,1.0,no_major_descriptor_risk
CAND_2c8d8ee074,0.3042,3.803,458.566,3.0661,111.15,4,5,8,0,True,0.68689,0.688556,1.0,no_major_descriptor_risk
CAND_c5faa50a42,0.4689,3.18,382.468,0.2784,112.8,5,7,2,0,True,0.761005,0.757778,1.0,no_major_descriptor_risk
CAND_aeb4d80854,0.3824,3.745,470.577,3.5576,94.79,3,6,7,0,True,0.72208,0.695,1.0,no_major_descriptor_risk
CAND_2638b720ea,0.3624,3.87,470.577,3.3394,108.78,3,7,8,0,True,0.71308,0.681111,1.0,no_major_descriptor_risk
CAND_787ce8892d,0.1748,4.448,475.597,1.2929,132.01,5,8,12,0,False,0.54616,0.616889,1.0,veber_fail
CAND_45f197ae3d,0.5086,4.275,324.344,-0.3576,81.56,2,7,1,0,True,0.77887,0.636111,1.0,no_major_descriptor_risk
CAND_39d3eb0bd1,0.1329,4.356,436.56,1.0822,137.79,6,7,11,1,False,0.428305,0.627111,1.0,1_lipinski_violations;veber_fail
CAND_caab0e3f86,0.2914,3.911,410.522,1.547,124.13,5,7,9,0,True,0.68113,0.676556,1.0,no_major_descriptor_risk
CAND_ad8602e83c,0.4856,4.242,447.543,1.4881,128.19,4,8,4,0,True,0.76852,0.639778,1.0,no_major_descriptor_risk
CAND_57aeddcc5f,0.3268,4.742,447.547,1.9291,101.24,3,9,6,0,True,0.69706,0.584222,1.0,no_major_descriptor_risk
CAND_cea52e6b70,0.1216,3.492,483.646,1.7949,112.4,6,11,10,2,True,0.40672,0.723111,1.0,2_lipinski_violations
CAND_b947aec122,0.7775,3.053,413.485,2.6039,68.59,1,8,4,0,True,0.899875,0.771889,1.0,no_major_descriptor_risk
CAND_40b6c97ba2,0.544,2.986,401.474,2.9923,81.82,2,7,4,0,True,0.7948,0.779333,1.0,no_major_descriptor_risk
CAND_16675ad5b2,0.2787,3.82,407.522,2.0666,79.32,2,8,8,0,True,0.675415,0.686667,1.0,no_major_descriptor_risk
CAND_83d761efeb,0.7791,3.0,417.517,2.7962,77.38,2,8,5,0,True,0.900595,0.777778,1.0,no_major_descriptor_risk
CAND_8ced6a8186,0.5868,3.373,448.556,4.1674,82.65,1,9,5,0,True,0.81406,0.736333,1.0,no_major_descriptor_risk
CAND_62718e0971,0.5143,2.975,390.491,3.398,57.93,1,6,6,0,True,0.781435,0.780556,1.0,no_major_descriptor_risk
CAND_9cf4869dd5,0.7269,2.742,393.495,2.0442,76.52,3,8,4,0,True,0.877105,0.806444,1.0,no_major_descriptor_risk
CAND_f437f6d89a,0.4625,3.278,422.508,3.7377,57.93,1,6,7,0,True,0.758125,0.746889,1.0,no_major_descriptor_risk
CAND_f4c51e432b,0.8111,3.178,404.518,2.878,64.49,2,7,3,0,True,0.914995,0.758,1.0,no_major_descriptor_risk
CAND_baa5adbe3b,0.2149,4.264,397.527,1.1644,84.98,5,8,10,0,True,0.646705,0.637333,1.0,no_major_descriptor_risk
CAND_389b0bd48c,0.2486,3.25,333.867,2.9634,84.06,3,4,10,0,True,0.66187,0.75,1.0,no_major_descriptor_risk
CAND_127ab9a6da,0.4088,3.375,260.345,0.7093,90.26,5,4,3,0,True,0.73396,0.736111,1.0,no_major_descriptor_risk
CAND_8e8ae2652f,0.7138,2.75,308.389,3.0105,101.24,3,5,6,0,True,0.87121,0.805556,1.0,no_major_descriptor_risk
CAND_03964746e5,0.8683,3.0,308.389,2.575,78.36,1,5,4,0,True,0.940735,0.777778,1.0,no_major_descriptor_risk
CAND_318e48ce20,0.5307,2.625,285.395,3.3783,76.0,3,4,7,0,True,0.788815,0.819444,1.0,no_major_descriptor_risk
CAND_78368c7901,0.7135,2.25,258.672,2.0824,83.18,1,4,2,0,True,0.871075,0.861111,1.0,no_major_descriptor_risk
CAND_92c8c66d5e,0.774,2.875,283.379,3.8186,59.39,1,3,5,0,True,0.8983,0.791667,1.0,no_major_descriptor_risk
CAND_29982a008c,0.6701,3.125,318.45,1.6913,98.59,3,7,5,0,True,0.851545,0.763889,1.0,no_major_descriptor_risk
CAND_aefe185694,0.9202,3.0,292.346,2.2824,90.08,1,5,2,0,True,0.96409,0.777778,1.0,no_major_descriptor_risk
CAND_03abc0c2b1,0.8691,3.325,301.438,3.3203,52.35,1,5,3,0,True,0.941095,0.741667,1.0,no_major_descriptor_risk
CAND_0224bd2937,0.7808,2.75,278.319,2.6862,83.18,1,4,2,0,True,0.90136,0.805556,1.0,no_major_descriptor_risk
CAND_d2a7510685,0.3835,3.0,339.379,1.8197,117.93,3,6,8,0,True,0.722575,0.777778,1.0,no_major_descriptor_risk
CAND_b395d80db2,0.5312,4.105,391.455,0.711,109.95,2,6,5,0,True,0.78904,0.655,1.0,no_major_descriptor_risk
CAND_0e3fc8e798,0.391,3.436,392.443,1.9122,130.78,3,6,6,0,True,0.72595,0.729333,1.0,no_major_descriptor_risk
CAND_d09aeeeeae,0.4227,3.074,363.401,2.2252,123.89,2,5,8,0,True,0.740215,0.769556,1.0,no_major_descriptor_risk
CAND_997f9cb188,0.2997,2.375,293.714,0.0447,97.36,2,4,7,0,True,0.684865,0.847222,1.0,no_major_descriptor_risk
CAND_3e4546e58d,0.4566,2.625,309.329,1.4565,111.53,2,5,7,0,True,0.75547,0.819444,1.0,no_major_descriptor_risk
CAND_831dd8b5ae,0.6694,2.375,279.303,2.1031,94.79,1,4,5,0,True,0.85123,0.847222,1.0,no_major_descriptor_risk
CAND_367b0bb41b,0.494,3.78,409.426,1.1881,133.23,2,7,8,0,True,0.7723,0.691111,1.0,no_major_descriptor_risk
CAND_60014c3c69,0.4646,4.047,358.47,0.2499,113.7,4,7,8,0,True,0.75907,0.661444,1.0,no_major_descriptor_risk
CAND_36141b5abb,0.5161,4.02,497.669,2.6965,93.67,4,7,4,0,True,0.782245,0.664444,1.0,no_major_descriptor_risk
CAND_705dfac7db,0.3574,3.776,489.621,1.8423,101.1,4,8,6,0,True,0.71083,0.691556,1.0,no_major_descriptor_risk
CAND_ee25a26323,0.3322,5.515,496.681,2.5222,111.85,4,7,6,0,True,0.69949,0.498333,1.0,no_major_descriptor_risk
CAND_abbfe6b7e7,0.5737,3.712,464.595,1.7983,71.49,2,8,1,0,True,0.808165,0.698667,1.0,no_major_descriptor_risk
CAND_43a0cbe197,0.25,4.237,392.594,1.7861,73.55,6,5,4,1,True,0.5635,0.640333,1.0,1_lipinski_violations
CAND_232732335c,0.6169,3.587,464.595,2.6576,91.63,2,6,4,0,True,0.827605,0.712556,1.0,no_major_descriptor_risk
CAND_a36c03bfb1,0.3981,3.893,519.675,3.9685,94.87,2,7,6,1,True,0.630145,0.678556,1.0,1_lipinski_violations
CAND_20cb32be46,0.3191,5.773,565.684,3.0225,100.87,4,7,9,1,True,0.594595,0.469667,1.0,1_lipinski_violations
CAND_5fb21f9000,0.5709,4.093,510.668,2.2728,104.67,3,9,4,1,True,0.707905,0.656333,1.0,1_lipinski_violations
CAND_f929e3b400,0.1565,4.937,527.635,2.7487,105.7,5,6,8,1,True,0.521425,0.562556,1.0,1_lipinski_violations
