candidate_id,lipinski_violations,veber_pass,main_risk
CAND_aab0a6e00f,1,False,1_lipinski_violations;veber_fail
CAND_c5d043bbf5,1,False,1_lipinski_violations;veber_fail
CAND_3483fbad6b,1,True,1_lipinski_violations
CAND_90d2d54af8,2,True,2_lipinski_violations
CAND_e1b78aa8a1,1,True,1_lipinski_violations
CAND_0d867ee730,2,True,2_lipinski_violations
CAND_cb467c14f2,1,True,1_lipinski_violations
CAND_55f5d4ed50,1,True,1_lipinski_violations
CAND_e464cc0e4b,2,True,2_lipinski_violations
CAND_04731ff8fe,1,True,1_lipinski_violations
CAND_2c4485a6bb,2,True,2_lipinski_violations
CAND_fd8c82cdc9,1,True,1_lipinski_violations
CAND_7fe2457241,2,True,2_lipinski_violations
CAND_90e740f668,1,True,1_lipinski_violations
CAND_07180b8018,2,True,2_lipinski_violations
CAND_7ad12f26a6,1,True,1_lipinski_violations
CAND_2097e5f5d5,1,True,1_lipinski_violations
CAND_391ba3c60d,2,True,2_lipinski_violations
CAND_269db435c2,1,True,1_lipinski_violations
CAND_72138c0fc3,2,True,2_lipinski_violations
CAND_f572e43ab9,2,True,2_lipinski_violations
CAND_010bb58bb2,1,True,1_lipinski_violations
CAND_ef2e16f7cd,2,True,2_lipinski_violations
CAND_fd638b6471,2,True,2_lipinski_violations
CAND_97718e67b8,1,True,1_lipinski_violations
CAND_5002139fb2,2,True,2_lipinski_violations
CAND_97e32810aa,1,True,1_lipinski_violations
CAND_9afeb12e4f,1,True,1_lipinski_violations
CAND_0e2b263679,1,True,1_lipinski_violations
CAND_044d74da21,1,True,1_lipinski_violations
CAND_827c06ba75,2,True,2_lipinski_violations
CAND_1b42d20d57,1,True,1_lipinski_violations
CAND_609cfb9de5,1,True,1_lipinski_violations
CAND_a37086a590,1,True,1_lipinski_violations
CAND_b3d7106e0c,2,True,2_lipinski_violations
CAND_69526adb78,1,True,1_lipinski_violations
CAND_c968c668d5,2,True,2_lipinski_violations
CAND_805d133b63,1,True,1_lipinski_violations
CAND_d5bb3eb6a1,1,True,1_lipinski_violations
CAND_6382865ddd,2,True,2_lipinski_violations
CAND_b6c6292426,2,True,2_lipinski_violations
CAND_664680dcc7,2,True,2_lipinski_violations
CAND_9cef3787f6,1,True,1_lipinski_violations
CAND_aa166099e3,1,True,1_lipinski_violations
CAND_3ce2b0ba2a,1,True,1_lipinski_violations
CAND_1e1ae451a9,0,True,no_major_descriptor_risk
CAND_ca5c99de4d,2,True,2_lipinski_violations
CAND_fb1d26fcd5,1,True,1_lipinski_violations
CAND_8ea3cfc0b2,1,True,1_lipinski_violations
CAND_07562d47a6,2,True,2_lipinski_violations
CAND_626d63f20d,2,True,2_lipinski_violations
CAND_88ea681feb,1,True,1_lipinski_violations
CAND_c341622335,2,True,2_lipinski_violations
CAND_788fdac5ee,2,True,2_lipinski_violations
CAND_a6ecbbd854,2,True,2_lipinski_violations
