epoch,global_step,train_loss,val_loss
1,100,13.583561539649963,12.520974441008134
2,200,13.196470103263856,12.507193131880326
3,300,12.015641927719116,11.988773129203103
4,400,12.017709674835205,12.088784998113459
5,500,11.847833166122436,11.795386097647928
6,600,11.50095664024353,11.503881736235185
7,700,11.561085305213929,11.838205510919744
8,800,11.42603081226349,12.441970044916326
9,900,11.721590433120728,12.114586873487992
10,1000,11.361322493553162,11.435133478858255
11,1100,10.958952403068542,10.55208455432545
12,1200,10.490468649864196,11.375588763843883
13,1300,10.789193797111512,10.977405873211948
14,1400,10.551036925315858,10.756044799631292
15,1500,10.851253471374513,11.3190618428317
16,1600,10.611060628890991,10.339549173008312
17,1700,11.038426752090453,10.887264771894975
18,1800,10.727988319396973,10.998138362711126
19,1900,10.910449085235596,10.889893011613326
20,2000,10.802426733970641,10.516936995766379
21,2100,10.610760288238525,11.593352881344883
22,2200,10.63004141330719,10.056198423559016
23,2300,10.377229080200195,10.008156277916648
24,2400,10.32548300743103,10.63815706426447
25,2500,10.57035635471344,10.198314081538808
26,2600,10.657032175064087,11.035107916051691
27,2700,10.591636505126953,11.053450280969793
28,2800,10.98900062084198,10.02308516068892
29,2900,10.429818429946899,10.526083512739701
30,3000,10.021724367141724,10.74386278065768
31,3100,10.170001683235169,11.182287909767844
32,3200,10.301137232780457,9.880751999941738
33,3300,10.157422361373902,9.913747939196499
34,3400,9.795176997184754,11.245946515690196
35,3500,10.072640247344971,10.5729989788749
36,3600,10.044627084732056,10.489781856536865
37,3700,10.430312128067017,10.221809907393022
38,3800,10.16537796974182,10.964098973707719
39,3900,10.215232443809509,9.062095295299184
40,4000,10.030495114326477,10.247906511480158
41,4100,10.174467339515687,10.193820064718073
42,4200,10.139020817279816,9.498933228579434
43,4300,10.356928148269652,9.705620115453547
44,4400,10.14001955986023,11.422057715329258
45,4500,9.993544774055481,9.242265289480036
46,4600,10.172707905769348,9.477531281384556
47,4700,9.79111294746399,10.563630906018345
48,4800,10.170604224205016,9.931442737579346
49,4900,10.27566385269165,9.733053879304366
50,5000,9.651727333068848,9.876167297363281
