candidate_id,source_generator,parent_mol_id,canonical_smiles,inchikey,valid_rdkit,unique_flag,novel_flag,mw,logp,tpsa,hbd,hba,rotatable_bonds,qed,sa_score,murcko_scaffold,max_ring_size,has_macrocycle_12_20,has_constrained_ring_8_11,passes_basic_filters,generation_notes,best_score,qed_admet,sa_score_admet,mw_admet,logp_admet,tpsa_admet,hbd_admet,hba_admet,rotatable_bonds_admet,lipinski_violations,veber_pass,admet_score,synthesis_score,safety_proxy_score,main_risk,pose_score,pose_decision,contacts_within_4A,hard_clashes_lt_1_8A,smiles,docking_score,diversity_cluster,docking_score_scaled,novelty_score,final_weighted_score,rank,decision,diverse_rank,selection_tier
CAND_5ca47dbfbb,macrocycle_linker,JAK2_eb0f359259,Cc1cnc(Nc2cc3nc(n2)N[C@@H](C)c2ncc(F)c(n2)COCCO3)s1,OIHKOJWIWWAURC-JTQLQIEISA-N,True,True,True,403.443,2.9963,106.97,2,10,2,0.6675,3.997,c1cc2nc(n1)CNc1nc(Nc3nccs3)cc(n1)OCCOC2,13,True,False,True,macrocycle_bridge_oxa_path9_ring12,-7.152,0.6675,3.997,403.443,2.9963,106.97,2,10,2,0,True,0.850375,0.667,1.0,no_major_descriptor_risk,0.5,,,,Cc1cnc(Nc2cc3nc(n2)N[C@@H](C)c2ncc(F)c(n2)COCCO3)s1,-7.152,scaffold_94351de0,0.918158567774936,1.0,0.81648,11,primary_candidate,11,backup_candidate
CAND_842555d85a,macrocycle_linker,JAK2_cc9087b35d,CC(C)(C#N)c1ccc2c(c1)CCCOCCCCNC(=O)c1cnc(N)c3cc-2sc13,UZQYJGXTJBRRBV-UHFFFAOYSA-N,True,True,True,448.592,4.8195,101.03,2,6,1,0.5558,3.873,O=C1NCCCCOCCCc2ccccc2-c2cc3cncc1c3s2,16,True,False,True,macrocycle_bridge_oxa_path8_ring15,-7.237,0.5558,3.873,448.592,4.8195,101.03,2,6,1,0,True,0.80011,0.680778,1.0,no_major_descriptor_risk,0.5,,,,CC(C)(C#N)c1ccc2c(c1)CCCOCCCCNC(=O)c1cnc(N)c3cc-2sc13,-7.237,scaffold_a26c5da4,0.9398976982097186,1.0,0.816103,12,primary_candidate,12,backup_candidate
CAND_81820b935b,macrocycle_linker,JAK2_c385760536,N#CC1CN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CCCSCCC24CC4)CC3)C1,GCFCHGVINQOWBF-IBGZPJMESA-N,True,True,True,464.595,2.7672,114.77,2,6,1,0.6707,4.412,O=C1N[C@@H](C(=O)N2CCC2)C2(CCSCCCC3(CC3)c3cnc4[nH]cc1c4n3)CC2,15,True,False,True,macrocycle_bridge_thioether_path8_ring14,-7.219,0.6707,4.412,464.595,2.7672,114.77,2,6,1,0,True,0.851815,0.620889,1.0,no_major_descriptor_risk,0.5,,,,N#CC1CN(C(=O)[C@@H]2NC(=O)c3c[nH]c4ncc(nc34)C3(CCCSCCC24CC4)CC3)C1,-7.219,scaffold_c6e0f3f4,0.9352941176470588,1.0,0.815849,13,primary_candidate,13,backup_candidate
CAND_2d63f0994e,macrocycle_linker,JAK2_c57d118ac8,C[C@@H]1Nc2nc(cnc2C#N)Nc2cc([nH]n2)CCOCc2cc1ncc2F,XJRNOUPVSAZAAB-JTQLQIEISA-N,True,True,True,380.387,2.5949,124.43,3,8,0,0.5435,3.619,c1cc2cc(n1)CNc1cncc(n1)Nc1cc([nH]n1)CCOC2,16,True,False,True,macrocycle_bridge_oxa_path12_ring15,-7.19,0.5435,3.619,380.387,2.5949,124.43,3,8,0,0,True,0.794575,0.709,1.0,no_major_descriptor_risk,0.5,,,,C[C@@H]1Nc2nc(cnc2C#N)Nc2cc([nH]n2)CCOCc2cc1ncc2F,-7.19,scaffold_f4baf2e8,0.9278772378516624,1.0,0.815022,14,primary_candidate,14,backup_candidate
CAND_3fa11742db,selfies,JAK2_1bae26071f,C[C@H](ONC1=CN=CC=NNC2=CCC2NC=N1)c1ccc(F)cn1,SZFJXIYRFASHBY-ZSOXZCCMSA-N,True,True,True,343.366,1.5357,95.29,3,8,4,0.7209,3.95,C1=NC=C(NOCc2ccccn2)N=CNC2CC=C2NN=C1,12,True,False,True,selfies_token_mutation,-7.069,0.7209,3.95,343.366,1.5357,95.29,3,8,4,0,True,0.874405,0.672222,1.0,no_major_descriptor_risk,0.5,,,,C[C@H](ONC1=CN=CC=NNC2=CCC2NC=N1)c1ccc(F)cn1,-7.069,scaffold_01dfc536,0.89693094629156,1.0,0.81464,15,primary_candidate,15,backup_candidate
CAND_945bfd7ab9,macrocycle_linker,JAK2_fc1e2398b3,Fc1cnc([C@@H]2CCCCCCc3cc(n[nH]3)Nc3nc(ncc3F)N2)nc1,CRCDAXMYVFTQLI-AWEZNQCLSA-N,True,True,True,386.41,3.6713,104.3,3,7,1,0.586,3.777,c1cnc([C@@H]2CCCCCCc3cc(n[nH]3)Nc3ccnc(n3)N2)nc1,15,True,False,True,macrocycle_bridge_alkyl_path10_ring14,-7.141,0.586,3.777,386.41,3.6713,104.3,3,7,1,0,True,0.8137,0.691444,1.0,no_major_descriptor_risk,0.5,,,,Fc1cnc([C@@H]2CCCCCCc3cc(n[nH]3)Nc3nc(ncc3F)N2)nc1,-7.141,scaffold_d2b58a32,0.9153452685421994,1.0,0.811827,16,primary_candidate,16,backup_candidate
CAND_0feb57e148,macrocycle_linker,JAK2_eb0f359259,Cc1cnc(Nc2cc3nc(n2)N[C@@H](C)c2ncc(F)c(n2)CCCCO3)s1,BEZWJWDJVAUZDJ-NSHDSACASA-N,True,True,True,401.471,3.8024,97.74,2,9,2,0.6691,3.986,c1cc2nc(n1)CNc1nc(Nc3nccs3)cc(n1)OCCCC2,13,True,False,True,macrocycle_bridge_oxa_aza_path9_ring12,-7.095,0.6691,3.986,401.471,3.8024,97.74,2,9,2,0,True,0.851095,0.668222,1.0,no_major_descriptor_risk,0.5,,,,Cc1cnc(Nc2cc3nc(n2)N[C@@H](C)c2ncc(F)c(n2)CCCCO3)s1,-7.095,scaffold_dc1b4476,0.9035805626598464,1.0,0.811705,17,primary_candidate,17,backup_candidate
CAND_03fca0654a,macrocycle_linker,JAK2_f8ef9f9f68,Cc1cnc2nc1Nc1n[nH]c(C)c1CCCc1nc(ncc1F)[C@H](C)N2,RCVWNMRFTIJXST-NSHDSACASA-N,True,True,True,368.42,3.151,104.3,3,7,0,0.5597,3.552,c1cc2nc(n1)CNc1nccc(n1)Nc1n[nH]cc1CCC2,14,True,False,True,macrocycle_bridge_oxa_aza_path10_ring13,-7.123,0.5597,3.552,368.42,3.151,104.3,3,7,0,0,True,0.801865,0.716444,1.0,no_major_descriptor_risk,0.5,,,,Cc1cnc2nc1Nc1n[nH]c(C)c1CCCc1nc(ncc1F)[C@H](C)N2,-7.123,scaffold_6f8b59f7,0.9107416879795396,1.0,0.811599,18,primary_candidate,18,backup_candidate
CAND_57118fd3af,macrocycle_linker,JAK2_3f3d946705,CN(c1ncnc2[nH]ccc12)[C@H]1CN2CC[C@H]1CCCCNCCC(C#N)C2=O,LPEKYRVHKZBLBH-AGPBCMBSSA-N,True,True,True,395.511,1.9146,100.94,2,6,2,0.8056,4.653,O=C1CCCNCCCC[C@@H]2CCN1C[C@@H]2Nc1ncnc2[nH]ccc12,13,True,False,True,macrocycle_bridge_aza_path6_ring12,-7.065,0.8056,4.653,395.511,1.9146,100.94,2,6,2,0,True,0.91252,0.594111,1.0,no_major_descriptor_risk,0.5,,,,CN(c1ncnc2[nH]ccc12)[C@H]1CN2CC[C@H]1CCCCNCCC(C#N)C2=O,-7.065,scaffold_d2f3601a,0.8959079283887468,1.0,0.810188,19,primary_candidate,19,backup_candidate
CAND_4bf5715aca,macrocycle_linker,JAK2_7c9f52f196,Cc1nc(C#N)c2nc1Nc1cc([nH]n1)CCCOCC(C)(c1ccc(F)cn1)N2,VQNMEJVSQZSANS-UHFFFAOYSA-N,True,True,True,408.441,2.9476,124.43,3,8,1,0.5613,3.9,c1ccc(C2COCCCc3cc(n[nH]3)Nc3cncc(n3)N2)nc1,14,True,False,True,macrocycle_bridge_oxa_path9_ring13,-7.167,0.5613,3.9,408.441,2.9476,124.43,3,8,1,0,True,0.802585,0.677778,1.0,no_major_descriptor_risk,0.5,,,,Cc1nc(C#N)c2nc1Nc1cc([nH]n1)CCCOCC(C)(c1ccc(F)cn1)N2,-7.167,scaffold_bc689b42,0.9219948849104858,1.0,0.809882,20,primary_candidate,20,backup_candidate
