mol_id,canonical_smiles,mw,logp,tpsa,hbd,hba,rotatable_bonds,qed,num_atoms,num_heavy_atoms,num_rings,max_ring_size,formal_charge,passes_rdkit,passes_basic_filters
JAK2_35db01c01b,O=c1[nH]cnc2cc(N[C@@H]3CCCNC3)nc(Nc3cccc4cc[nH]c34)c12,375.436,2.7069,110.52,5,6,4,0.3751,28,28,5,6,0,,True
JAK2_af2894c914,[O-][N+]1=c2ccc(Nc3ccccc3)cc2=NC12CCCCC2,293.37,2.7127,50.46,1,3,2,0.6835,22,22,4,6,0,,True
JAK2_28d566642d,C[C@]1(F)CCC[C@H]1Nc1c(C(N)=O)cnn2cccc12,276.315,2.1258,72.42,2,3,3,0.9016,20,20,3,6,0,,True
JAK2_e5e426679c,Nc1n[nH]c2cc(-c3ccccc3)ccc12,209.252,2.8121,54.7,2,2,1,0.6471,16,16,3,6,0,,False
JAK2_cad0757663,C[C@H](Nc1cc(-c2c(N)nn3cccnc23)ncn1)c1ccccc1,331.383,2.9416,94.02,2,6,4,0.597,25,25,4,6,0,,True
JAK2_9130ed79cb,Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)c(C#N)cc2Cl)n[nH]1,371.807,4.089,102.31,3,6,5,0.6239,26,26,3,6,0,,True
JAK2_f5f8777571,COc1cc(Nc2nc3cccc(-c4ccccn4)c3o2)cc(OC)c1OC,377.4,4.6592,78.64,1,7,6,0.5234,28,28,4,6,0,,True
JAK2_ac2faab9b4,CNCCNC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1cc(Cl)ccc1C,384.871,2.6319,108.72,4,5,6,0.4884,27,27,3,6,0,,True
JAK2_91727c62f5,CN(CCOc1cccc(NC2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c1)c1ccnc(F)c1,471.492,3.6968,99.35,3,6,8,0.2678,35,35,5,6,0,,True
JAK2_645b775a07,Oc1ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)c(F)c1,331.35,4.5895,60.94,3,3,1,0.478,25,25,5,7,0,,True
JAK2_5ba0b26a20,CCn1cc(-c2cnc3[nH]cc(C(=O)N[C@H](C)C(=O)N4CC(C#N)C4)c3n2)cn1,392.423,0.9416,132.59,2,6,5,0.664,29,29,4,6,0,,True
JAK2_e84f14e6dd,NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1ccccc1Cl,313.748,2.4732,110.68,3,4,3,0.6893,22,22,3,6,0,,True
JAK2_f7fbe8bb1c,COc1cccc(F)c1C(C[N+](=O)[O-])c1c(N)n(C)c(=O)n(C)c1=O,352.322,0.2225,122.39,1,6,5,0.6067,25,25,2,6,0,,True
JAK2_2155a1b6b6,Nc1n[nH]c2ccc(Br)cc12,212.05,1.9076,54.7,2,2,0,0.7002,11,11,2,6,0,,False
JAK2_57c57b908a,COc1nc(C)cc2c1-c1[nH]c3ccccc3c1CCN2CCc1ccccc1,383.495,5.1521,41.15,1,3,4,0.5297,29,29,5,7,0,,True
JAK2_f59a16ca04,N#Cc1ccc2ncn(-c3ncc4[nH]c(=O)n([C@@H]5CCOc6c(F)cccc65)c4n3)c2c1,427.399,2.8412,114.41,1,6,2,0.4634,32,32,6,6,0,,True
JAK2_33d39d88ec,C[C@H](Nc1nccc(-c2c(-c3ccc(F)cc3)nc3nc(N)ccn23)n1)c1ccccc1,425.471,4.7477,94.02,2,6,5,0.4221,32,32,5,6,0,,True
JAK2_3a72ae39e0,O=c1[nH]ccc2c(Nc3c(Cl)cc(OC(F)(F)F)cc3Cl)nc3ccncc3c12,441.196,5.4203,79.9,2,5,3,0.4154,29,29,4,6,0,,True
JAK2_e1c49205c8,N#CCN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2ccc(OCCN3CCCC3)c(c2)C1,510.642,5.0261,86.54,1,8,5,0.378,38,38,5,18,0,,True
JAK2_5f62e30391,CNC(=O)c1cnc(N)c2cc(-c3ccccc3)sc12,283.356,2.9051,68.01,2,4,2,0.7595,20,20,3,6,0,,True
JAK2_0745eb1ac4,CS(=O)(=O)Nc1ccc(-c2ccnc(Nc3ccc(CN4CCS(=O)(=O)CC4)cc3)n2)cc1,487.607,2.4891,121.36,2,8,7,0.5214,33,33,4,6,0,,True
JAK2_c4e3138137,Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)nc(N3CCOCC3)c2Cl)n[nH]1,433.879,2.8439,116.77,3,9,6,0.5389,30,30,4,6,0,,True
JAK2_e50306a9df,O=C(O)c1ccc(Nc2nc3c(-c4cnn(C5CCCCC5)c4)cccn3n2)cc1,402.458,4.5398,97.34,2,5,5,0.5086,30,30,5,6,0,,True
JAK2_d22d2e2cb0,CN(C)[C@H]1CCCN(c2ccc(C(F)(F)F)cc2NC(=O)c2cc(C#Cc3cnc(N)nc3)ccc2F)C1,526.538,4.3992,87.38,2,6,4,0.3873,38,38,4,6,0,,True
JAK2_8d7562cae6,Cc1cccc(Nc2sc(-c3cccc(F)c3)cc2C(N)=O)n1,327.384,4.1001,68.01,2,4,4,0.7578,23,23,3,6,0,,True
JAK2_3bd770708d,CC(Nc1nc(Nc2cn(C)cn2)c2ccc(Cl)nc2n1)c1ncc(F)cn1,399.821,3.2575,106.33,2,8,5,0.4924,28,28,4,6,0,,True
JAK2_4c7527667c,O=c1cc(-c2[nH]c(-c3ccc(O)cc3)nc2-c2ccc(F)cc2)cc[nH]1,347.349,3.9437,81.77,3,3,3,0.5249,26,26,4,6,0,,True
JAK2_2ff148ba0e,C[C@H](N)C(=O)Nc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,418.501,3.0095,105.4,3,7,6,0.565,31,31,4,6,0,,True
JAK2_e70992e983,CC(C)Nc1ncnc2oc(-c3ccc(OCCN4CCCC4)cc3)c(-c3ccccc3)c12,442.563,5.8517,63.42,1,6,8,0.3692,33,33,5,6,0,,True
JAK2_777ae6093b,CN1CCN(c2ccc(Nc3ncc4ccc(-c5ccccc5N(C)S(C)(=O)=O)n4n3)cc2)CC1,491.621,3.2875,86.08,1,7,6,0.443,35,35,5,6,0,,True
JAK2_92e1603cc3,CC(=O)Nc1ccc(-c2ccnc(NCCCNC(=O)c3c(Cl)cccc3Cl)n2)cc1,458.349,4.6408,96.01,3,5,8,0.4277,31,31,3,6,0,,True
JAK2_7c83eaf384,Nc1n[nH]c2ccc(-c3ccccc3Cl)cc12,243.697,3.4655,54.7,2,2,1,0.6877,17,17,3,6,0,,False
JAK2_9a8152ce7e,N#Cc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,357.417,3.5955,74.07,1,6,4,0.769,27,27,4,6,0,,True
JAK2_36f756e547,Cc1cc(Nc2nc(N3CCN(C(=O)Cc4ccccc4F)CC3)nn3cccc23)n[nH]1,434.479,2.5348,94.45,2,6,5,0.5014,32,32,5,6,0,,True
JAK2_08c650d72e,CC(=O)Nc1ccc(-c2cc(C)nc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,403.486,3.9906,79.38,2,6,5,0.6706,30,30,4,6,0,,True
JAK2_41f05c4fc6,Cc1cc(Nc2nc(O[C@@H](C)c3ccc(F)cn3)c(F)c(N3CCOCC3)n2)n[nH]1,417.42,2.9015,101.08,2,8,6,0.6315,30,30,4,6,0,,True
JAK2_a380b37e44,O=C(CCc1cn(Cc2ccc(Cl)cc2)c2ccccc12)Nc1ccc([N+](=O)[O-])cc1,433.895,5.8225,77.17,1,3,7,0.2943,31,31,4,6,0,,True
JAK2_a0a529af44,Nc1cccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,347.422,3.306,76.3,2,6,4,0.7054,26,26,4,6,0,,True
JAK2_7fafbd97b3,CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2ccc(N3CCOCC3)c(c2)C1,457.578,4.4943,62.75,1,7,1,0.5402,34,34,5,18,0,,True
JAK2_bb59505934,COc1cccnc1-c1ccc2cnc(Nc3ccc(C4CCN(CC(N)=O)CC4)cc3)nn12,457.538,3.2082,110.67,2,7,7,0.4384,34,34,5,6,0,,True
JAK2_ebabd2162e,Cn1c(-c2c[nH]nn2)nc(-c2ccc(F)cc2)c1-c1ccncc1,320.331,3.0733,72.28,1,4,3,0.6295,24,24,4,6,0,,True
JAK2_4f6cca3ffb,COc1ccc2cc1-c1ccnc(n1)Nc1ccc(OCCN3CCCC3)c(c1)COCC=CCOC2,502.615,4.9734,77.97,1,8,5,0.4901,37,37,5,18,0,,True
JAK2_f0afeb2563,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1cccc(OCCNc2ccnc(F)c2)c1,457.465,3.6725,108.14,4,6,8,0.1827,34,34,5,6,0,,True
JAK2_4d87107920,Fc1cnc2nc1-c1cccc(c1)COCC=CCOCc1cc(ccc1OCCN1CCCC1)N2,490.579,5.1039,68.74,1,7,4,0.5103,36,36,5,18,0,,True
JAK2_4c8ff71131,COc1ccc(-c2ccc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nn23)cn1,415.501,3.2953,70.82,1,7,5,0.5363,31,31,5,6,0,,True
JAK2_3b0ff69632,COC[C@H](C)Nc1ccnc(-n2cnc3ccc(C#N)cc32)n1,308.345,2.134,88.65,1,6,5,0.7765,23,23,3,6,0,,True
JAK2_9fa3a7a49a,CC(C)(C)c1cc(NC(=O)CCl)n(-c2ccccc2)n1,291.782,3.3471,46.92,1,2,3,0.8817,20,20,2,6,0,,True
JAK2_c931cd8e42,C[C@H](Nc1ncc(C(N)=O)c2[nH]c3ccc(F)cc3c12)C(C)(C)C,328.391,3.8006,83.8,3,3,3,0.6835,24,24,3,6,0,,True
JAK2_72b18e0e30,CCOc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc(N)c2Cl)c(F)c1,512.9,5.1896,108.47,2,6,7,0.3526,36,36,4,6,0,,True
JAK2_75b2a74d8c,C#Cc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccnc(SC)n3)[nH]2)cc1,386.455,5.043,54.46,1,4,4,0.3032,28,28,4,6,0,,True
JAK2_5de2b7a63e,Cc1cccc(Nc2sc(-c3ccccc3F)cc2C(N)=O)n1,327.384,4.1001,68.01,2,4,4,0.7578,23,23,3,6,0,,True
JAK2_071bd53e13,CC(C)(C)c1nc2c3ccc(F)cc3c3c(=O)[nH]ccc3c2[nH]1,309.344,3.9942,61.54,2,2,0,0.4824,23,23,4,6,0,,True
JAK2_130b76deb6,Nc1ncnn2ccc(C(=O)Nc3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12,405.393,3.3469,126.44,4,5,4,0.4142,30,30,4,6,0,,True
JAK2_b49a7e665d,COCCOc1ccc2cc1CN(C)C/C=C/CCOc1cccc(c1)-c1ccnc(n1)N2,446.551,4.6829,68.74,1,7,4,0.4608,33,33,4,18,0,,True
JAK2_25b9be50fa,C[C@H](Nc1ccnc(-n2cnc3ccncc32)n1)c1ccc(Cl)cc1,350.813,4.037,68.52,1,5,4,0.6013,25,25,4,6,0,,True
JAK2_e41eb8fd4a,Cc1csc2c(Nc3cn(C)cn3)nc(N[C@@H](C)c3ncc(F)cn3)nc12,384.444,3.579,93.44,2,8,5,0.5431,27,27,4,6,0,,True
JAK2_7888931f4a,NC(=O)c1cnc(NC(C2CC2)C2CC2)c2c1[nH]c1cc(-c3cnc(N)nc3)ccc12,413.485,3.4547,135.6,4,6,6,0.3822,31,31,6,6,0,,True
JAK2_d95b4cdfb1,CNC(=O)c1cnc(N)c2cc(-c3ccc(S(=O)(=O)NC(C)(C)C)cc3)sc12,418.544,2.9819,114.18,3,6,4,0.6026,28,28,3,6,0,,True
JAK2_cf1406226a,CCCCCCN(C(=O)CCl)c1ccccc1,253.773,3.8387,20.31,0,1,7,0.5341,17,17,1,6,0,,True
JAK2_7170569dc6,CCN(CC(F)(F)F)C(=O)C1CCCN(c2cc(-c3c(N)nn4cccnc34)ncn2)C1,448.453,2.3957,105.54,1,7,5,0.6389,32,32,4,6,0,,True
JAK2_45cc532020,Cn1c(-c2cn([C@@H]3[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]3O)nn2)nc(-c2ccc(F)cc2)c1-c1ccncc1,482.472,0.5191,151.57,4,9,5,0.319,35,35,5,6,0,,True
JAK2_42d4d2b240,CC(C)(C)NS(=O)(=O)c1ccc(-c2cc3c(N)ncc(C(=O)NCCN4CCCCC4)c3s2)cc1,515.705,3.838,117.42,3,7,7,0.4401,35,35,4,6,0,,True
JAK2_7c29e69302,COc1ccc(-c2cc(N[C@@H](C)c3ccccc3)nc(-n3cnc4ccncc43)n2)cc1OC,452.518,5.0678,86.98,1,7,7,0.3689,34,34,5,6,0,,True
JAK2_c096612cb1,COc1cccc(-c2cccc3nc(Nc4ccc(N5CCN(C)CC5)cc4)nn23)c1,414.513,3.9003,57.93,1,6,5,0.5346,31,31,5,6,0,,True
JAK2_b207202af8,C[C@H](NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(C)(C)O,288.351,1.7245,90.9,3,4,4,0.7987,21,21,3,6,0,,True
JAK2_3946ef17a2,CC(=O)N1CCN(c2ccc3cc2COCC=CCOCc2cccc(c2)-c2ccnc(n2)N3)CC1,485.588,4.1587,79.82,1,7,1,0.5187,36,36,5,18,0,,True
JAK2_c5ba052617,CS(=O)(=O)c1ccc(-c2cccn3nc(Nc4ccc(N5CCOCC5)cc4)nc23)cc1,449.536,3.38,88.83,1,7,5,0.4996,32,32,5,6,0,,True
JAK2_6635ff8a33,NC(=O)CN1CCC(c2ccc(Nc3ncc4ccc(-c5cccc6cccnc56)n4n3)cc2)CC1,477.572,4.3528,101.44,2,6,6,0.377,36,36,6,6,0,,True
