mol_id,canonical_smiles,mw,logp,tpsa,hbd,hba,rotatable_bonds,qed,num_atoms,num_heavy_atoms,num_rings,max_ring_size,formal_charge,passes_rdkit,passes_basic_filters
JAK2_f63200c6fc,CC1CCN(C(=O)[C@@H](C)NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C1,341.415,1.822,90.98,2,4,4,0.8873,25,25,4,6,0,,True
JAK2_dd69d5b360,COc1ccc(N2CCc3c(C)nc4c(OC)cc(OC)cc4c32)c(OC)c1,380.444,4.2718,53.05,0,6,5,0.6588,28,28,4,6,0,,True
JAK2_5d437cebf2,Cc1cc(Nc2nc3cccc(-c4ccc(C(=O)N5CCOCC5)cc4)c3o2)ccc1C(=O)N(C)C,484.556,4.721,87.91,1,6,5,0.441,36,36,5,6,0,,True
JAK2_fd8b24dad5,Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)c(C#N)cc2F)n[nH]1,355.352,3.5747,102.31,3,6,5,0.6465,26,26,3,6,0,,True
JAK2_8c93d98423,COc1cc(Nc2nc3cccc(-c4ccc(C(=O)N5CCOCC5)cc4)c3o2)cc(OC)c1OC,489.528,4.7366,95.29,1,8,7,0.3979,36,36,5,6,0,,True
JAK2_69e4e150d8,C[C@H](Nc1cc(-c2ccoc2)nc(-n2cnc3ccncc32)n1)c1ccccc1,382.427,4.6436,81.66,1,6,5,0.4767,29,29,5,6,0,,True
JAK2_54ea24ef39,O=CN1CCN(c2ccc(C(F)(F)F)c(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c2)CC1,468.435,3.0323,85.51,2,4,4,0.4555,34,34,5,6,0,,True
JAK2_eb43f38c08,NC(=O)c1cnc(N[C@@H]2CCCC[C@@H]2N)nc1Nc1cccc(-n2nccn2)c1,393.455,1.5816,149.66,4,8,6,0.4929,29,29,4,6,0,,True
JAK2_47c663cfbd,COC(=O)COc1cccc2c(=O)n(CC(=O)NCc3ccc(F)cc3)ccc12,398.39,2.0088,86.63,1,5,7,0.6156,29,29,3,6,0,,True
JAK2_01774c8952,COCCNC(=O)c1cc2c(N[C@@H](C)c3ccccc3)nc(-n3cnc4ccncc43)nc2n1C,470.537,3.2515,111.78,2,7,8,0.3349,35,35,5,6,0,,True
JAK2_5d9303ab15,O=S(=O)(c1cccs1)N1CCN(c2ccc(O)cc2)CC1,324.427,1.9646,60.85,1,5,3,0.9375,21,21,3,6,0,,True
JAK2_9d0e4f3f8a,Cl.c1ccc2c(CN3CCCCCC3)c[nH]c2c1,264.8,3.9657,19.03,1,1,2,0.8698,18,18,3,7,0,,True
JAK2_f6c9a7f30d,NC(=O)c1cnc(N[C@H](C2CC2)C(F)(F)F)c2c1[nH]c1cc(-c3cnc(N)nc3)ccc12,441.417,3.607,135.6,4,6,5,0.3736,32,32,5,6,0,,True
JAK2_fa62330e96,O=c1[nH]ccc2nc(NC3CCC3)c3ccc(F)cc3c12,283.306,3.1798,57.78,2,3,2,0.7101,21,21,4,6,0,,True
JAK2_e5685f45f3,CCS(=O)(=O)CNc1cc2cc(c1)Nc1nccc(n1)-c1cccc(c1)OCC/C=C/CN(C)C2,493.633,4.4618,96.45,2,8,4,0.5144,35,35,4,18,0,,True
JAK2_bc0785694a,CC1(C)[C@H](N)CC[C@H]1Nc1c(C(N)=O)cnn2cccc12,287.367,1.361,98.44,3,4,3,0.7935,21,21,3,6,0,,True
JAK2_6f8843e888,CN(c1cccc(-c2ccc3cnc(Nc4ccc(C5CCN(CC(N)=O)CC5)cc4)nn23)c1)S(C)(=O)=O,533.658,3.2004,125.93,2,7,8,0.3562,38,38,5,6,0,,True
JAK2_28f3f32e88,CN(C)CCN1CCN(C(=O)c2cc(C(C)(C)C)sc2NC(=O)Nc2cccc(Cl)c2Cl)CCC1=O,554.544,5.2325,84.99,2,5,6,0.5123,36,36,3,7,0,,True
JAK2_d8edcf57e7,CC(C)NC(=O)c1c[nH]c2ncc(C3CC3)nc12,244.298,1.9735,70.67,2,3,3,0.8668,18,18,3,6,0,,False
JAK2_22d36598a0,COc1nc(C)cc2c1-c1[nH]c3cc(N4CCN(C)CC4)ccc3c1CCN2CCc1ccccc1,481.644,4.9039,47.63,1,5,5,0.4392,36,36,6,7,0,,True
JAK2_79f98ea88a,Cc1cc(NC(=O)c2cnn3cccnc23)c(-c2cccc(Cl)c2)cn1,363.808,4.0054,72.18,1,4,3,0.5967,26,26,4,6,0,,True
JAK2_0b57062283,COc1cc(O)c2c(c1)CCC[C@H](O)CC(=O)/C=C\C[C@H](C)OC2=O,348.395,2.5488,93.06,2,6,1,0.7578,25,25,2,14,0,,True
JAK2_57f45da782,O=C1c2oc(-c3ccc(Cl)cc3)cc2Cc2cc(N3CCNCC3)ccc2N1Cc1ccccc1-c1cccnc1,561.085,6.8228,61.61,1,5,5,0.2554,41,41,7,7,0,,True
JAK2_636d21a80d,CCCN(CC(F)(F)F)C(=O)C1CCCN(c2cc(-c3c(N)nn4cccnc34)ncn2)C1,462.48,2.7858,105.54,1,7,6,0.6005,33,33,4,6,0,,True
JAK2_5bccbf5381,COC(=O)c1ccc(Nc2nc(N)n(C(=O)c3c(F)cccc3F)n2)cc1,373.319,2.3572,112.13,2,7,4,0.6752,27,27,3,6,0,,True
JAK2_4c92614d40,C[C@H](Nc1cc(-c2ccoc2)nc(-n2cnc3ccncc32)n1)c1ccc(F)cc1,400.417,4.7827,81.66,1,6,5,0.4571,30,30,5,6,0,,True
JAK2_968daa996c,Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)c(F)c(N3CCN(S(C)(=O)=O)CC3)n2)n[nH]1,493.544,2.1796,132.03,3,9,7,0.453,34,34,4,6,0,,True
JAK2_6dc1db68d3,CNC(=O)c1ccc(Nc2nc3cccc(-c4cc(F)c(CN5CCOCC5)c(F)c4)c3o2)cc1C,492.526,5.0168,79.63,2,6,6,0.3937,36,36,5,6,0,,True
JAK2_1de5bcc24c,Cc1ccc(Cl)c(-c2[nH]c(-c3ccnc(N)n3)cc2C(N)=O)c1,327.775,2.7816,110.68,3,4,3,0.6864,23,23,3,6,0,,True
JAK2_8224c874ed,CCOC(=O)c1cccc(Nc2nc(N)n(C(=O)c3c(F)cccc3F)n2)c1,387.346,2.7473,112.13,2,7,5,0.6475,28,28,3,6,0,,True
JAK2_ea60b61550,NC(=O)c1cnc(N2CCCC2)c2c1[nH]c1ccc(F)cc12,298.321,2.5543,75.01,2,3,2,0.7632,22,22,4,6,0,,True
JAK2_a437644d7e,COc1ccc(-c2cnc3c(c2)CCC3(C#N)C#N)cc1,275.311,2.9884,69.7,0,4,2,0.8444,21,21,3,6,0,,True
JAK2_01aa2cd0f0,CN1CCN(Cc2cccc(Nc3nccc(-c4ccc(NS(C)(=O)=O)cc4)n3)c2)CC1,452.584,3.0061,90.46,2,7,7,0.5695,32,32,4,6,0,,True
JAK2_d5a0980bbf,CNc1ncc(C(N)=O)c2[nH]c3ccc(F)cc3c12,258.256,1.9958,83.8,3,3,2,0.6569,19,19,3,6,0,,True
JAK2_2eda2afd5e,Cc1nc2ccccc2c(O)c1C(=O)/C=C/c1ccccc1,289.334,4.1449,50.19,1,3,3,0.5819,22,22,3,6,0,,True
JAK2_d2844f380a,Cc1cc(Nc2nc(N3CCN(C(=O)c4ccccc4)CC3)nn3cccc23)n[nH]1,402.462,2.4668,94.45,2,6,4,0.5446,30,30,5,6,0,,True
JAK2_7794ab5f7d,COc1ccccc1N(C(=O)CCl)c1cn(C(C)=O)c2ccccc12,356.809,4.2135,51.54,0,3,4,0.6577,25,25,3,6,0,,True
JAK2_2e6607578d,COC(=O)C1CCN(c2cc(-c3c(N)nn4cccnc34)ncn2)C1,339.359,0.7678,111.53,1,8,3,0.6965,25,25,4,6,0,,True
