"run_id","stage","started_at","finished_at","status","input_path","output_path","molecules_in","molecules_out","random_seed","notes"
"20260508_224108_m6_admet_synthesis_2a429f06","M6_admet_synthesis","2026-05-08T17:11:08Z","2026-05-08T17:11:08Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\05_generated_candidates\merged\generated_merged_filtered.csv","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\07_admet_synthesis\admet_scores.csv","188","188","42","Descriptor proxy scoring; not biological safety proof"
"20260508_224115_m7_ranking_6980d7e0","M7_ranking","2026-05-08T17:11:15Z","2026-05-08T17:11:15Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\05_generated_candidates\merged\generated_merged_filtered.csv; C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\scores\docking_scores.csv; C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\07_admet_synthesis\admet_scores.csv","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\08_final_ranking\final_ranked_candidates.csv","188","188","42","Consensus ranking generated"
"20260508_224125_m0_validation_ba36f9e0","M0_validation","2026-05-08T17:11:25Z","2026-05-08T17:11:25Z","completed_with_open_gates","","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\00_project_registry\validation_report.json","","","42","40 passed, 1 open/failed"
"20260508_224342_m0_registry_cd27491f","M0_registry","2026-05-08T17:13:42Z","2026-05-08T17:13:42Z","completed","","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\00_project_registry\environment_versions.txt","","","42","Project tree and registry initialized"
"20260508_224349_m4_generation_d272a678","M4_generation","2026-05-08T17:13:49Z","2026-05-08T17:13:49Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\02_curated_data\jak2_curated_ligands.csv","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\05_generated_candidates\merged\generated_merged_filtered.csv","25","188","42","SELFIES 125, RDKit 75"
"20260508_224355_m6_admet_synthesis_b0be6053","M6_admet_synthesis","2026-05-08T17:13:55Z","2026-05-08T17:13:55Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\05_generated_candidates\merged\generated_merged_filtered.csv","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\07_admet_synthesis\admet_scores.csv","188","188","42","Descriptor proxy scoring; not biological safety proof"
"20260508_224412_m7_ranking_31526e05","M7_ranking","2026-05-08T17:14:12Z","2026-05-08T17:14:12Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\05_generated_candidates\merged\generated_merged_filtered.csv; C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\scores\docking_scores.csv; C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\07_admet_synthesis\admet_scores.csv","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\08_final_ranking\final_ranked_candidates.csv","188","188","42","Consensus ranking generated"
"20260508_224423_m5_docking_prep_e0900769","M5_docking_prep","2026-05-08T17:14:23Z","2026-05-08T17:14:23Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\08_final_ranking\final_ranked_candidates.csv","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\candidates_for_docking.sdf","50","49","42","Grid from QUP:A:2000:; 1 ligand embedding failures"
"20260508_224433_m0_validation_33cba7c0","M0_validation","2026-05-08T17:14:33Z","2026-05-08T17:14:33Z","completed_with_open_gates","","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\00_project_registry\validation_report.json","","","42","43 passed, 1 open/failed"
"20260508_224533_m5_docking_prep_1bce365f","M5_docking_prep","2026-05-08T17:15:33Z","2026-05-08T17:15:33Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\08_final_ranking\final_ranked_candidates.csv","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\candidates_for_docking.sdf","50","49","42","Grid from QUP:A:2000:; 1 ligand embedding failures"
"20260508_224545_m0_validation_6a1098e9","M0_validation","2026-05-08T17:15:45Z","2026-05-08T17:15:45Z","completed_with_open_gates","","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\00_project_registry\validation_report.json","","","42","43 passed, 1 open/failed"
"20260508_224651_m8_reporting_assets_1327b480","M8_reporting_assets","2026-05-08T17:16:51Z","2026-05-08T17:16:51Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\08_final_ranking\final_ranked_candidates.csv","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\candidate_cards","10","10","42","Markdown candidate cards generated; docking-pending status retained if no scores exist"
"20260508_224658_m0_validation_ba604c33","M0_validation","2026-05-08T17:16:58Z","2026-05-08T17:16:58Z","completed_with_open_gates","","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\00_project_registry\validation_report.json","","","42","43 passed, 1 open/failed"
"20260508_224719_m8_reporting_assets_8fbc6700","M8_reporting_assets","2026-05-08T17:17:19Z","2026-05-08T17:17:19Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\08_final_ranking\final_ranked_candidates.csv","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\candidate_cards","10","10","42","Markdown candidate cards generated; docking-pending status retained if no scores exist"
"20260508_224806_m1_data_collection_c11bc412","M1_data_collection","2026-05-08T17:18:06Z","2026-05-08T17:18:06Z","completed","ChEMBL API; RCSB PDB","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\02_curated_data\jak2_curated_ligands.csv","300","204","42","Main collection"
"20260508_224843_m2_features_b97f4a3d","M2_features","2026-05-08T17:18:43Z","2026-05-08T17:18:43Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\02_curated_data\jak2_curated_ligands.csv","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\03_features\ligand_features.csv","","","42","Main feature build"
"20260508_224853_m3_se3_debug_0b22fef5","M3_se3_debug","2026-05-08T17:18:53Z","2026-05-08T17:18:53Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\03_features\ligand_graphs\se3_graphs.pt","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\04_models_checkpoints\se3_flow\se3_latest_checkpoint.pt","204","204","42","Debug loss 21.236229"
"20260508_224905_m4_generation_f917e90b","M4_generation","2026-05-08T17:19:05Z","2026-05-08T17:19:05Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\02_curated_data\jak2_curated_ligands.csv","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\05_generated_candidates\merged\generated_merged_filtered.csv","50","595","42","SELFIES 399, RDKit 250"
"20260508_224914_m6_admet_synthesis_38a6fad4","M6_admet_synthesis","2026-05-08T17:19:14Z","2026-05-08T17:19:14Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\05_generated_candidates\merged\generated_merged_filtered.csv","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\07_admet_synthesis\admet_scores.csv","595","595","42","Descriptor proxy scoring; not biological safety proof"
"20260508_224918_m7_ranking_206134ba","M7_ranking","2026-05-08T17:19:18Z","2026-05-08T17:19:18Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\05_generated_candidates\merged\generated_merged_filtered.csv; C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\scores\docking_scores.csv; C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\07_admet_synthesis\admet_scores.csv","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\08_final_ranking\final_ranked_candidates.csv","595","595","42","Consensus ranking generated"
"20260508_225100_m5_docking_prep_9dc15b30","M5_docking_prep","2026-05-08T17:21:00Z","2026-05-08T17:21:00Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\08_final_ranking\final_ranked_candidates.csv","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf\candidates_for_docking.sdf","100","97","42","Grid from QUP:A:2000:; 3 ligand embedding failures"
"20260508_225109_m8_reporting_assets_51003afa","M8_reporting_assets","2026-05-08T17:21:09Z","2026-05-08T17:21:09Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\08_final_ranking\final_ranked_candidates.csv","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\candidate_cards","10","10","42","Markdown candidate cards generated; docking-pending status retained if no scores exist"
"20260508_225109_m0_validation_a375f077","M0_validation","2026-05-08T17:21:09Z","2026-05-08T17:21:09Z","completed_with_open_gates","","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\00_project_registry\validation_report.json","","","42","43 passed, 1 open/failed"
"20260508_225243_m0_validation_c4a26951","M0_validation","2026-05-08T17:22:43Z","2026-05-08T17:22:43Z","completed_with_open_gates","","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\00_project_registry\validation_report.json","","","42","43 passed, 1 open/failed"
"20260508_225352_m0_validation_a2724ee4","M0_validation","2026-05-08T17:23:52Z","2026-05-08T17:23:52Z","completed_with_open_gates","","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\00_project_registry\validation_report.json","","","42","43 passed, 1 open/failed"
"20260508_225631_m5_pdbqt_prep_a53aa016","M5_pdbqt_prep","2026-05-08T17:26:31Z","2026-05-08T17:26:31Z","completed_with_failures","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\scores\pdbqt_preparation_summary.json","","","42","receptor=failed; ligands_prepared=10, skipped=0, failed=0"
"20260508_225715_m5_pdbqt_prep_ef38dcaa","M5_pdbqt_prep","2026-05-08T17:27:15Z","2026-05-08T17:27:15Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\scores\pdbqt_preparation_summary.json","","","42","receptor=prepared; ligands_prepared=0, skipped=10, failed=0"
"20260508_230034_m5_pdbqt_prep_e56867ac","M5_pdbqt_prep","2026-05-08T17:30:34Z","2026-05-08T17:30:34Z","completed","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\ligands_sdf","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\scores\pdbqt_preparation_summary.json","","","42","ligands_prepared=136, skipped=10, failed=0"
