"artifact_id","stage","path","artifact_type","owner","created_at","status","notes"
"art_74b506a96d","V5_3_benchmark","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\emd_pose_benchmark_metrics.csv","v5_3_pose_benchmark_metrics","Student 1","2026-05-14T05:40:29Z","created",""
"art_26549dfe71","V5_3_benchmark","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\reference_med_style_metrics.csv","reference_med_style_metrics","Student 1","2026-05-14T05:40:29Z","created",""
"art_bd6fa6527a","V5_3_benchmark","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\emd_v5_3_benchmark_summary.json","v5_3_benchmark_summary","Student 1","2026-05-14T05:40:29Z","created",""
"art_59f0fb90d3","V5_3_benchmark","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\EMD_V5_3_Benchmark_Report.md","v5_3_benchmark_report","Student 1","2026-05-14T05:40:29Z","created",""
"art_8c2b7617f8","V5_3_benchmark","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\emd_candidate_benchmark_metrics.csv","v5_3_candidate_benchmark_metrics","Student 1","2026-05-14T05:44:27Z","created",""
"art_41d8c2e2b8","V5_3_benchmark","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\emd_docking_benchmark_metrics.csv","v5_3_docking_benchmark_metrics","Student 1","2026-05-14T05:44:27Z","created",""
"art_346d928085","V5_3_benchmark","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\emd_pose_benchmark_metrics.csv","v5_3_pose_benchmark_metrics","Student 1","2026-05-14T05:44:27Z","created",""
"art_2ada1f5c43","V5_3_benchmark","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\reference_med_style_metrics.csv","reference_med_style_metrics","Student 1","2026-05-14T05:44:27Z","created",""
"art_71adbc79f2","V5_3_benchmark","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\emd_v5_3_benchmark_summary.json","v5_3_benchmark_summary","Student 1","2026-05-14T05:44:27Z","created",""
"art_71c32329e2","V5_3_benchmark","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\EMD_V5_3_Benchmark_Report.md","v5_3_benchmark_report","Student 1","2026-05-14T05:44:27Z","created",""
"art_a30e59ffa5","M0_validation","C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\00_project_registry\validation_report.json","validation_report","Student 1","2026-05-14T05:45:13Z","created",""
art_ab2355b77f,M0_validation,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\00_project_registry\validation_report.json,validation_report,Student 1,2026-05-14T06:04:59Z,created,
art_3f059d28e3,V5_3_benchmark,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\emd_candidate_benchmark_metrics.csv,v5_3_candidate_benchmark_metrics,Student 1,2026-05-14T06:04:59Z,created,
art_1129be91d0,V5_3_benchmark,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\emd_docking_benchmark_metrics.csv,v5_3_docking_benchmark_metrics,Student 1,2026-05-14T06:04:59Z,created,
art_711e3f6090,V5_3_benchmark,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\emd_pose_benchmark_metrics.csv,v5_3_pose_benchmark_metrics,Student 1,2026-05-14T06:04:59Z,created,
art_6338caa3ba,V5_3_benchmark,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\reference_med_style_metrics.csv,reference_med_style_metrics,Student 1,2026-05-14T06:04:59Z,created,
art_48ca1ab43f,V5_3_benchmark,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\emd_v5_3_benchmark_summary.json,v5_3_benchmark_summary,Student 1,2026-05-14T06:04:59Z,created,
art_49a042c5c2,V5_3_benchmark,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\EMD_V5_3_Benchmark_Report.md,v5_3_benchmark_report,Student 1,2026-05-14T06:04:59Z,created,
art_2efd6caa36,M0_validation,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\00_project_registry\validation_report.json,validation_report,Student 1,2026-05-14T06:06:32Z,created,
art_c302bbfb4b,V5_4_pocket_electronic_fit,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_3_model_guided\scores\pocket_electronic_fit_scores.csv,pocket_electronic_fit_scores,Student 5,2026-05-14T06:20:59Z,created,
art_bcd38e89e8,V5_4_pocket_electronic_fit,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\08_final_ranking\v5_3_model_guided_pocket_electronic_ranked_candidates.csv,pocket_electronic_guided_ranking,Student 5,2026-05-14T06:20:59Z,created,
art_42b8112638,V5_4_pocket_electronic_fit,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_3_model_guided\scores\jak2_pocket_electronic_profile.json,jak2_pocket_electronic_profile,Student 5,2026-05-14T06:20:59Z,created,
art_f8d0994a8e,V5_4_pocket_electronic_fit,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\00_project_registry\progress_v5_4_pocket_electronic_fit.json,pocket_electronic_fit_progress,Student 5,2026-05-14T06:20:59Z,created,
art_349e9b90f3,V5_3_vina_gpu_decision_package,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_gpu_decision_package\v5_3_gpu_top_candidates.csv,v5_3_gpu_top_candidates_csv,Student 1,2026-05-14T06:23:12Z,created,
art_e43678388b,V5_3_vina_gpu_decision_package,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_gpu_decision_package\V5_3_GPU_Candidate_Decision_Package.md,v5_3_gpu_decision_report,Student 1,2026-05-14T06:23:12Z,created,
art_7f5a1442df,V5_3_vina_gpu_decision_package,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_gpu_decision_package\V5_3_GPU_Candidate_Decision_Package.zip,v5_3_gpu_decision_package_zip,Student 1,2026-05-14T06:23:12Z,created,
art_a40d295589,M0_validation,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\00_project_registry\validation_report.json,validation_report,Student 1,2026-05-14T06:25:50Z,created,
art_dd160eb5a9,M0_validation,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\00_project_registry\validation_report.json,validation_report,Student 1,2026-05-14T06:27:21Z,created,
art_985786fa76,M0_validation,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\00_project_registry\validation_report.json,validation_report,Student 1,2026-05-14T06:27:52Z,created,
art_f58cefc38a,V5_3_benchmark,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\emd_candidate_benchmark_metrics.csv,v5_3_candidate_benchmark_metrics,Student 1,2026-05-14T08:26:28Z,created,
art_185d4d5bcc,V5_3_benchmark,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\emd_docking_benchmark_metrics.csv,v5_3_docking_benchmark_metrics,Student 1,2026-05-14T08:26:28Z,created,
art_9638f64774,V5_3_benchmark,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\emd_pose_benchmark_metrics.csv,v5_3_pose_benchmark_metrics,Student 1,2026-05-14T08:26:28Z,created,
art_2c7fe70d7c,V5_3_benchmark,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\reference_med_style_metrics.csv,reference_med_style_metrics,Student 1,2026-05-14T08:26:28Z,created,
art_0b5744c2fd,V5_3_benchmark,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\emd_v5_3_benchmark_summary.json,v5_3_benchmark_summary,Student 1,2026-05-14T08:26:28Z,created,
art_0c69722b95,V5_3_benchmark,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\EMD_V5_3_Benchmark_Report.md,v5_3_benchmark_report,Student 1,2026-05-14T08:26:28Z,created,
art_4fb3b332ed,V5_3_benchmark_gap_measurement,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\05_generated_candidates\model_guided_macrocycle\v5_3_model_guided_linker_novelty.csv,v5_3_linker_novelty_csv,Student 1,2026-05-14T08:26:34Z,created,
art_f21209573b,V5_3_benchmark_gap_measurement,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\05_generated_candidates\model_guided_macrocycle\v5_3_model_guided_benchmark_gap_summary.json,v5_3_benchmark_gap_summary,Student 1,2026-05-14T08:26:34Z,created,
art_a563d78b07,V5_4_pocket_electronic_fit,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_3_model_guided\scores\pocket_electronic_fit_scores.csv,pocket_electronic_fit_scores,Student 5,2026-05-14T08:29:25Z,created,
art_48c2e5217d,V5_4_pocket_electronic_fit,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\08_final_ranking\v5_3_model_guided_pocket_electronic_ranked_candidates.csv,pocket_electronic_guided_ranking,Student 5,2026-05-14T08:29:25Z,created,
art_19568a5b76,V5_4_pocket_electronic_fit,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_3_model_guided\scores\jak2_pocket_electronic_profile.json,jak2_pocket_electronic_profile,Student 5,2026-05-14T08:29:25Z,created,
art_e94a061d37,V5_4_pocket_electronic_fit,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\00_project_registry\progress_v5_4_pocket_electronic_fit.json,pocket_electronic_fit_progress,Student 5,2026-05-14T08:29:25Z,created,
art_994ec5da8b,V5_3_vina_gpu_decision_package,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_gpu_decision_package\v5_3_gpu_top_candidates.csv,v5_3_gpu_top_candidates_csv,Student 1,2026-05-14T08:29:38Z,created,
art_5c630ddf6b,V5_3_vina_gpu_decision_package,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_gpu_decision_package\V5_3_GPU_Candidate_Decision_Package.md,v5_3_gpu_decision_report,Student 1,2026-05-14T08:29:38Z,created,
art_a76d595429,V5_3_vina_gpu_decision_package,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_gpu_decision_package\V5_3_GPU_Candidate_Decision_Package.zip,v5_3_gpu_decision_package_zip,Student 1,2026-05-14T08:29:38Z,created,
art_5521f5e9b5,M0_validation,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\00_project_registry\validation_report.json,validation_report,Student 1,2026-05-14T08:33:05Z,created,
art_1d5240f5d4,V5_3_benchmark,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\emd_candidate_benchmark_metrics.csv,v5_3_candidate_benchmark_metrics,Student 1,2026-05-15T08:43:43Z,created,
art_1458f5b3c7,V5_3_benchmark,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\emd_docking_benchmark_metrics.csv,v5_3_docking_benchmark_metrics,Student 1,2026-05-15T08:43:43Z,created,
art_1245c0b173,V5_3_benchmark,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\emd_pose_benchmark_metrics.csv,v5_3_pose_benchmark_metrics,Student 1,2026-05-15T08:43:43Z,created,
art_92f2d309fe,V5_3_benchmark,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\reference_med_style_metrics.csv,reference_med_style_metrics,Student 1,2026-05-15T08:43:43Z,created,
art_dcf58c039b,V5_3_benchmark,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\emd_v5_3_benchmark_summary.json,v5_3_benchmark_summary,Student 1,2026-05-15T08:43:43Z,created,
art_9012245544,V5_3_benchmark,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\EMD_V5_3_Benchmark_Report.md,v5_3_benchmark_report,Student 1,2026-05-15T08:43:43Z,created,
art_32aed83e61,V5_3_vina_gpu_decision_package,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_gpu_decision_package\v5_3_gpu_top_candidates.csv,v5_3_gpu_top_candidates_csv,Student 1,2026-05-15T08:43:44Z,created,
art_312cca33db,V5_3_vina_gpu_decision_package,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_gpu_decision_package\V5_3_GPU_Candidate_Decision_Package.md,v5_3_gpu_decision_report,Student 1,2026-05-15T08:43:44Z,created,
art_14dd28194c,V5_3_vina_gpu_decision_package,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_gpu_decision_package\V5_3_GPU_Candidate_Decision_Package.zip,v5_3_gpu_decision_package_zip,Student 1,2026-05-15T08:43:44Z,created,
art_0f56be3b27,V5_3_benchmark,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\emd_candidate_benchmark_metrics.csv,v5_3_candidate_benchmark_metrics,Student 1,2026-05-15T10:07:40Z,created,
art_0f54bb0b9e,V5_3_benchmark,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\emd_docking_benchmark_metrics.csv,v5_3_docking_benchmark_metrics,Student 1,2026-05-15T10:07:40Z,created,
art_5beb0d804a,V5_3_benchmark,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\emd_pose_benchmark_metrics.csv,v5_3_pose_benchmark_metrics,Student 1,2026-05-15T10:07:40Z,created,
art_64044530b1,V5_3_benchmark,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\reference_med_style_metrics.csv,reference_med_style_metrics,Student 1,2026-05-15T10:07:40Z,created,
art_f8543c424b,V5_3_benchmark,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\emd_v5_3_benchmark_summary.json,v5_3_benchmark_summary,Student 1,2026-05-15T10:07:40Z,created,
art_ba17bb3081,V5_3_benchmark,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\EMD_V5_3_Benchmark_Report.md,v5_3_benchmark_report,Student 1,2026-05-15T10:07:40Z,created,
art_8309d568f5,V5_3_vina_gpu_decision_package,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_gpu_decision_package\v5_3_gpu_top_candidates.csv,v5_3_gpu_top_candidates_csv,Student 1,2026-05-15T10:07:41Z,created,
art_7932b17fda,V5_3_vina_gpu_decision_package,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_gpu_decision_package\V5_3_GPU_Candidate_Decision_Package.md,v5_3_gpu_decision_report,Student 1,2026-05-15T10:07:41Z,created,
art_d55f104dd1,V5_3_vina_gpu_decision_package,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_gpu_decision_package\V5_3_GPU_Candidate_Decision_Package.zip,v5_3_gpu_decision_package_zip,Student 1,2026-05-15T10:07:41Z,created,
art_8b90d2b541,V5_3_vina_gpu_decision_package,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_gpu_decision_package\v5_3_gpu_top_candidates.csv,v5_3_gpu_top_candidates_csv,Student 1,2026-05-15T10:08:49Z,created,
art_a8914033db,V5_3_vina_gpu_decision_package,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_gpu_decision_package\V5_3_GPU_Candidate_Decision_Package.md,v5_3_gpu_decision_report,Student 1,2026-05-15T10:08:49Z,created,
art_0743d3bde7,V5_3_vina_gpu_decision_package,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_gpu_decision_package\V5_3_GPU_Candidate_Decision_Package.zip,v5_3_gpu_decision_package_zip,Student 1,2026-05-15T10:08:49Z,created,
art_6ccb8b0119,V5_3_benchmark_gap_measurement,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\05_generated_candidates\v5_5_pocket_guided\v5_5_pocket_guided_linker_novelty.csv,v5_3_linker_novelty_csv,Student 1,2026-05-15T16:58:14Z,created,
art_4ab19f14a3,V5_3_benchmark_gap_measurement,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\05_generated_candidates\v5_5_pocket_guided\v5_5_pocket_guided_benchmark_gap_summary.json,v5_3_benchmark_gap_summary,Student 1,2026-05-15T16:58:14Z,created,
art_117407a6fa,V5_3_benchmark,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\emd_candidate_benchmark_metrics.csv,v5_3_candidate_benchmark_metrics,Student 1,2026-05-15T16:58:24Z,created,
art_44de57afac,V5_3_benchmark,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\emd_docking_benchmark_metrics.csv,v5_3_docking_benchmark_metrics,Student 1,2026-05-15T16:58:24Z,created,
art_fab6344aa1,V5_3_benchmark,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\emd_pose_benchmark_metrics.csv,v5_3_pose_benchmark_metrics,Student 1,2026-05-15T16:58:24Z,created,
art_52d2e9afe7,V5_3_benchmark,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\reference_med_style_metrics.csv,reference_med_style_metrics,Student 1,2026-05-15T16:58:24Z,created,
art_c35e1badf0,V5_3_benchmark,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\emd_v5_3_benchmark_summary.json,v5_3_benchmark_summary,Student 1,2026-05-15T16:58:24Z,created,
art_2af589ca97,V5_3_benchmark,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\EMD_V5_3_Benchmark_Report.md,v5_3_benchmark_report,Student 1,2026-05-15T16:58:24Z,created,
art_4cceef39e0,V5_3_vina_gpu_decision_package,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_gpu_decision_package\v5_3_gpu_top_candidates.csv,v5_3_gpu_top_candidates_csv,Student 1,2026-05-15T16:58:24Z,created,
art_d9f8828ff7,V5_3_vina_gpu_decision_package,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_gpu_decision_package\V5_3_GPU_Candidate_Decision_Package.md,v5_3_gpu_decision_report,Student 1,2026-05-15T16:58:24Z,created,
art_5e6eabaea8,V5_3_vina_gpu_decision_package,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_gpu_decision_package\V5_3_GPU_Candidate_Decision_Package.zip,v5_3_gpu_decision_package_zip,Student 1,2026-05-15T16:58:24Z,created,
art_2a5d95a19c,V5_3_benchmark,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\emd_candidate_benchmark_metrics.csv,v5_3_candidate_benchmark_metrics,Student 1,2026-05-15T16:58:58Z,created,
art_e33965e899,V5_3_benchmark,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\emd_docking_benchmark_metrics.csv,v5_3_docking_benchmark_metrics,Student 1,2026-05-15T16:58:58Z,created,
art_8939085687,V5_3_benchmark,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\emd_pose_benchmark_metrics.csv,v5_3_pose_benchmark_metrics,Student 1,2026-05-15T16:58:58Z,created,
art_cafa386f94,V5_3_benchmark,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\09_reports\v5_3_benchmark\reference_med_style_metrics.csv,reference_med_style_metrics,Student 1,2026-05-15T16:58:58Z,created,
