mol_id,source,source_id,canonical_smiles,inchikey,activity_type,activity_value_nM,p_activity,target,assay_id,confidence_score,max_ring_size,has_macrocycle_12_20,has_constrained_ring_8_11,split,notes
PREMAC_4e7176c188,ChEMBL_macrocycle_scan,CHEMBL406756,CC[C@H]1OC(=O)/C(C)=C/[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(NCCCc3cccc(N)c3)C(=O)O[C@]12C,UPRSRWGSHXPXNK-GZXMRBOCSA-N,,,,broad_macrocycle_pretrain,,,14,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_3a55dada84,ChEMBL_macrocycle_scan,CHEMBL266678,COc1ccc(C[C@H]2NC(=O)/C=C/C[C@@H]([C@@](C)(O)C#Cc3ccccc3)OC(=O)[C@H](CC(C)C)OC(=O)CCNC2=O)cc1,ZXAJDPZZIZWYET-UNKATRCSSA-N,,,,broad_macrocycle_pretrain,,,16,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_66c1b1c990,ChEMBL_macrocycle_scan,CHEMBL296045,CC[C@H]1OC(=O)/C(C)=C/[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCOc3ccccc3)C(=O)O[C@]12C,ZGWKVQBRWMOTAV-CFHZJCBUSA-N,,,,broad_macrocycle_pretrain,,,14,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_56c17d218d,ChEMBL_macrocycle_scan,CHEMBL300004,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@]2(C)CC(C)=C(O2)[C@H](C)[C@@H](O)[C@]1(C)O,JFVYXJKGJMUGRG-KJPZRSJGSA-N,,,,broad_macrocycle_pretrain,,,13,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_0f8c1a86ef,ChEMBL_macrocycle_scan,CHEMBL311727,CC[C@H]1NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@@H](N)Cc2ccc(O)cc2)[C@@H](C)O)CSC(=O)[C@@H](CCSC)NC(=O)[C@@H]([C@@H](C)CC)NC(=O)[C@@H](Cc2ccccc2)NC1=O,BOWAMPLNHPWOMR-FHPBUMDNSA-N,,,,broad_macrocycle_pretrain,,,16,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_f1dcb3ce2e,ChEMBL_macrocycle_scan,CHEMBL441164,CN[C@H](Cc1ccccc1)C(=O)N[C@H]1CSSC(C)(C)[C@@H](C(=O)N[C@H](C(N)=O)[C@@H](C)O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCCN)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O,UDIQZIJXCIABQJ-JHLIUKOASA-N,,,,broad_macrocycle_pretrain,,,20,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_31534a1749,ChEMBL_macrocycle_scan,CHEMBL296332,CC[C@H]1OC(=O)/C(C)=C/[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(Cc3ccccc3)C(=O)O[C@]12C,UYXSXTIPTNZPII-UCOZVZGJSA-N,,,,broad_macrocycle_pretrain,,,14,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_632d22ae7f,ChEMBL_macrocycle_scan,CHEMBL303204,CC(C)C[C@@H]1NC(=O)[C@H](C(C)C)NC(=O)[C@H](C)N(C)C(=O)[C@H](CC(=O)O)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC1=O,KSMSPMKPVAUQAX-UMPHLXDOSA-N,,,,broad_macrocycle_pretrain,,,15,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_58d773012e,ChEMBL_macrocycle_scan,CHEMBL65606,C[n+]1ccc(-c2c3nc(c(-c4cc[n+](C)cc4)c4ccc([nH]4)c(-c4cc[n+](C)cc4)c4ccc([nH]4)c(-c4cc[n+](C)cc4)c4nc2C=C4)C=C3)cc1,ABCGFHPGHXSVKI-UHFFFAOYSA-O,,,,broad_macrocycle_pretrain,,,16,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
PREMAC_8b11cedc47,ChEMBL_macrocycle_scan,CHEMBL17240,CC1(C)CCNC(=O)[C@@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)CSSC[C@@H](C(=O)O)NC1=O,JIXSLEDAECILOI-JYJNAYRXSA-N,,,,broad_macrocycle_pretrain,,,13,True,False,pretrain_train,pretraining_macrocycle; max_phase=None
