epoch,train_loss,val_loss,train_exact_accuracy,train_within_one_accuracy,val_exact_accuracy,val_within_one_accuracy,val_mae_atoms
27,2.153881072998047,2.160160779953003,0.216682,0.443616,0.237113,0.507217,1.892784
28,2.1584339141845703,2.158240795135498,0.214352,0.439888,0.23299,0.478351,1.950516
29,2.154147148132324,2.156705141067505,0.216216,0.428705,0.239175,0.478351,1.958763
30,2.151223659515381,2.155456066131592,0.221808,0.442218,0.241237,0.472165,2.0
31,2.150264024734497,2.154402494430542,0.212954,0.428239,0.226804,0.453608,2.074227
32,2.1485371589660645,2.153459072113037,0.216216,0.425909,0.23299,0.451546,2.101031
33,2.1495249271392822,2.152562141418457,0.212954,0.421715,0.22268,0.437113,2.185567
34,2.1473207473754883,2.1516449451446533,0.206431,0.405405,0.220619,0.428866,2.23299
35,2.1370866298675537,2.1506669521331787,0.211556,0.418453,0.218557,0.420619,2.257732
36,2.1389734745025635,2.149592161178589,0.21808,0.413793,0.210309,0.418557,2.272165
37,2.136296033859253,2.1483957767486572,0.212022,0.405871,0.210309,0.412371,2.284536
38,2.14404296875,2.1470651626586914,0.206431,0.409133,0.208247,0.410309,2.292783
39,2.1349785327911377,2.1456058025360107,0.215284,0.403541,0.208247,0.410309,2.305155
40,2.135910987854004,2.144012928009033,0.214818,0.420783,0.208247,0.412371,2.296907
41,2.136601686477661,2.1423003673553467,0.21109,0.404473,0.218557,0.42268,2.263918
42,2.131974458694458,2.140491008758545,0.214818,0.419385,0.218557,0.426804,2.257732
43,2.128370523452759,2.138605833053589,0.202237,0.406337,0.218557,0.426804,2.224742
44,2.1306145191192627,2.1366655826568604,0.219012,0.433364,0.218557,0.426804,2.204124
45,2.124114513397217,2.134697914123535,0.216682,0.419385,0.220619,0.43299,2.228866
46,2.128917694091797,2.1327245235443115,0.218546,0.427307,0.218557,0.443299,2.2
47,2.128368854522705,2.130763292312622,0.219478,0.430103,0.216495,0.443299,2.204124
48,2.1216139793395996,2.1288368701934814,0.213886,0.431035,0.218557,0.443299,2.208247
49,2.124380588531494,2.1269567012786865,0.21109,0.427307,0.22268,0.472165,2.16701
50,2.1160731315612793,2.125133752822876,0.2274,0.445014,0.23299,0.482474,2.11134
51,2.1172382831573486,2.1233720779418945,0.22041,0.445946,0.23299,0.48866,2.080412
52,2.1110873222351074,2.121674060821533,0.22973,0.451072,0.235052,0.490722,2.061856
53,2.1095032691955566,2.1200449466705322,0.229264,0.447344,0.224742,0.490722,2.051547
54,2.1088271141052246,2.1184821128845215,0.22274,0.452936,0.224742,0.48866,2.061856
55,2.109954833984375,2.116980791091919,0.234856,0.468779,0.228866,0.486598,2.057732
56,2.1040468215942383,2.1155333518981934,0.234856,0.463187,0.230928,0.48866,2.05567
57,2.0985467433929443,2.1141340732574463,0.233458,0.459459,0.228866,0.490722,2.049485
58,2.10272479057312,2.1127748489379883,0.231594,0.468313,0.230928,0.486598,2.086598
59,2.098050355911255,2.111452579498291,0.240447,0.467847,0.23299,0.490722,2.065979
60,2.0980522632598877,2.1101579666137695,0.236253,0.478099,0.237113,0.492784,2.049485
61,2.0980300903320312,2.1088836193084717,0.221342,0.458993,0.241237,0.48866,2.039175
62,2.0996017456054688,2.10762357711792,0.236253,0.483691,0.245361,0.492784,2.026804
63,2.0938796997070312,2.106370210647583,0.232526,0.472507,0.245361,0.494845,2.024742
64,2.0895471572875977,2.1051199436187744,0.237185,0.480429,0.245361,0.496907,2.014433
65,2.0905799865722656,2.103870391845703,0.237651,0.477167,0.245361,0.496907,2.014433
66,2.092891216278076,2.102619171142578,0.237651,0.477633,0.247423,0.498969,1.997938
67,2.0907132625579834,2.1013636589050293,0.237185,0.477167,0.251546,0.501031,1.991753
68,2.086050510406494,2.1001040935516357,0.241379,0.476701,0.247423,0.501031,1.993814
69,2.085585117340088,2.0988426208496094,0.239049,0.485555,0.247423,0.501031,1.991753
70,2.087430477142334,2.0975775718688965,0.232992,0.479031,0.245361,0.496907,2.0
71,2.0825181007385254,2.096308708190918,0.236719,0.481827,0.247423,0.498969,1.991753
72,2.086052894592285,2.095036506652832,0.245107,0.488816,0.249485,0.501031,1.981443
73,2.082616090774536,2.0937650203704834,0.244175,0.475303,0.247423,0.498969,1.991753
74,2.0827643871307373,2.0924973487854004,0.249767,0.480429,0.247423,0.507217,1.983505
75,2.081575870513916,2.0912325382232666,0.243709,0.491612,0.239175,0.498969,2.008248
76,2.0790700912475586,2.0899691581726074,0.23206,0.468313,0.239175,0.498969,2.008248
77,2.0741002559661865,2.0887062549591064,0.245573,0.481361,0.241237,0.498969,2.006186
78,2.075237274169922,2.087446451187134,0.241845,0.496738,0.237113,0.501031,2.024742
79,2.070392608642578,2.0861902236938477,0.246505,0.491612,0.241237,0.501031,2.018557
80,2.0668063163757324,2.0849380493164062,0.249301,0.485555,0.249485,0.507217,1.995876
81,2.073774576187134,2.0836899280548096,0.245573,0.480429,0.249485,0.515464,1.97732
82,2.067833185195923,2.0824484825134277,0.248835,0.476701,0.249485,0.515464,1.97732
83,2.0676164627075195,2.0812113285064697,0.245107,0.488816,0.249485,0.515464,1.983505
84,2.0683376789093018,2.0799784660339355,0.246971,0.485555,0.249485,0.515464,1.983505
85,2.061126232147217,2.0787477493286133,0.243243,0.479031,0.253608,0.515464,1.975258
86,2.0634820461273193,2.0775206089019775,0.242777,0.488816,0.253608,0.515464,1.973196
87,2.0633645057678223,2.0762977600097656,0.250699,0.483691,0.253608,0.517526,1.969072
88,2.0570480823516846,2.0750796794891357,0.253029,0.499068,0.253608,0.517526,1.969072
89,2.0595908164978027,2.0738685131073,0.248835,0.476235,0.253608,0.515464,1.971134
90,2.0640997886657715,2.0726585388183594,0.251165,0.479963,0.253608,0.515464,1.960825
91,2.056318521499634,2.0714521408081055,0.245573,0.485089,0.249485,0.515464,1.964949
92,2.057630777359009,2.0702505111694336,0.247437,0.487884,0.249485,0.517526,1.958763
93,2.054532766342163,2.06905198097229,0.254427,0.484623,0.247423,0.515464,1.989691
94,2.0585477352142334,2.06785249710083,0.246505,0.484623,0.249485,0.513402,2.0
95,2.0534560680389404,2.066655158996582,0.246039,0.492078,0.251546,0.515464,1.987629
96,2.053882598876953,2.0654618740081787,0.243709,0.485555,0.251546,0.513402,1.995876
97,2.0440235137939453,2.064269542694092,0.256757,0.485555,0.251546,0.513402,1.995876
98,2.0451927185058594,2.0630786418914795,0.245107,0.482759,0.251546,0.513402,1.987629
99,2.0431649684906006,2.0618908405303955,0.253961,0.5,0.25567,0.505155,1.964949
100,2.051316976547241,2.06070876121521,0.248835,0.474371,0.259794,0.505155,1.960825
101,2.0430569648742676,2.059530258178711,0.247437,0.49301,0.259794,0.505155,1.960825
102,2.043206214904785,2.058354377746582,0.251631,0.496272,0.259794,0.505155,1.960825
103,2.0429446697235107,2.057183265686035,0.243243,0.49068,0.259794,0.505155,1.960825
104,2.0423216819763184,2.056014060974121,0.244641,0.479497,0.259794,0.507217,1.958763
105,2.036604404449463,2.054844617843628,0.251165,0.496738,0.261856,0.509278,1.94433
106,2.038116931915283,2.0536787509918213,0.246505,0.490214,0.261856,0.51134,1.934021
107,2.03737211227417,2.0525121688842773,0.257689,0.488816,0.261856,0.51134,1.931959
108,2.039245367050171,2.051348924636841,0.248369,0.493476,0.259794,0.513402,1.923711
109,2.040802240371704,2.050187349319458,0.252097,0.483691,0.259794,0.513402,1.92165
110,2.0346953868865967,2.0490288734436035,0.255359,0.498136,0.259794,0.515464,1.919588
111,2.0381436347961426,2.0478713512420654,0.259087,0.491146,0.261856,0.517526,1.909278
112,2.0310890674591064,2.0467171669006348,0.245107,0.484157,0.263918,0.519588,1.896907
113,2.0259454250335693,2.045565128326416,0.258621,0.504194,0.263918,0.519588,1.896907
114,2.035007953643799,2.0444176197052,0.260019,0.490214,0.263918,0.519588,1.896907
115,2.0283923149108887,2.0432684421539307,0.257223,0.502796,0.268041,0.521649,1.884536
116,2.0268518924713135,2.042121171951294,0.254893,0.490214,0.270103,0.523711,1.880412
117,2.024649143218994,2.0409739017486572,0.252563,0.493476,0.270103,0.523711,1.880412
118,2.0246798992156982,2.0398266315460205,0.255359,0.501398,0.268041,0.525773,1.880412
119,2.022274971008301,2.0386815071105957,0.262349,0.501398,0.268041,0.525773,1.876289
120,2.0184385776519775,2.037536144256592,0.265144,0.49534,0.268041,0.525773,1.876289
121,2.0222325325012207,2.0363903045654297,0.242777,0.48835,0.270103,0.527835,1.859794
122,2.0218169689178467,2.0352416038513184,0.246505,0.493476,0.270103,0.527835,1.859794
123,2.0186119079589844,2.034093141555786,0.263281,0.5,0.270103,0.527835,1.859794
124,2.0231409072875977,2.0329442024230957,0.255359,0.501398,0.270103,0.534021,1.839175
125,2.0134122371673584,2.0317959785461426,0.253029,0.491146,0.270103,0.534021,1.839175
126,2.018378734588623,2.0306496620178223,0.261417,0.510718,0.274227,0.538144,1.826804
127,2.0135838985443115,2.0295040607452393,0.250233,0.503728,0.270103,0.538144,1.830928
128,2.0180890560150146,2.0283563137054443,0.255359,0.50233,0.272165,0.538144,1.828866
129,2.0134029388427734,2.027212381362915,0.256757,0.499534,0.272165,0.538144,1.828866
130,2.014394521713257,2.0260636806488037,0.259087,0.498602,0.274227,0.540206,1.818557
131,2.0099551677703857,2.024909257888794,0.262349,0.517241,0.274227,0.540206,1.818557
132,2.007002592086792,2.023763418197632,0.258155,0.497204,0.276289,0.54433,1.804124
133,2.00716495513916,2.022620916366577,0.260951,0.50699,0.274227,0.54433,1.806186
134,2.0111243724823,2.021487236022949,0.252097,0.497204,0.278351,0.550515,1.783505
135,1.9993462562561035,2.0203535556793213,0.258155,0.50932,0.278351,0.550515,1.783505
136,2.0033633708953857,2.019218683242798,0.261417,0.503262,0.278351,0.550515,1.783505
137,2.0024704933166504,2.01808500289917,0.256757,0.505592,0.278351,0.550515,1.783505
138,1.9955451488494873,2.0169472694396973,0.268872,0.514445,0.282474,0.552577,1.773196
139,1.9935872554779053,2.0158023834228516,0.261417,0.508854,0.282474,0.552577,1.773196
140,2.0008392333984375,2.0146615505218506,0.269804,0.516775,0.282474,0.552577,1.773196
141,2.0006890296936035,2.0135276317596436,0.258621,0.503728,0.282474,0.552577,1.773196
142,1.9953984022140503,2.0124075412750244,0.263281,0.507456,0.282474,0.552577,1.773196
143,1.994322657585144,2.011289119720459,0.264678,0.513979,0.282474,0.552577,1.773196
144,1.9958962202072144,2.010172128677368,0.266076,0.509786,0.282474,0.552577,1.773196
145,1.9911631345748901,2.009061574935913,0.262349,0.501398,0.282474,0.552577,1.773196
146,1.9916764497756958,2.007960081100464,0.260951,0.508388,0.282474,0.552577,1.773196
147,1.9907861948013306,2.006847858428955,0.253029,0.503728,0.282474,0.552577,1.773196
148,1.991077184677124,2.005728006362915,0.264212,0.500466,0.282474,0.552577,1.773196
149,1.9898086786270142,2.0046141147613525,0.261883,0.516309,0.282474,0.548454,1.77732
150,1.988509178161621,2.0034940242767334,0.263281,0.50233,0.282474,0.550515,1.769072
151,1.9873911142349243,2.002372980117798,0.262815,0.514911,0.282474,0.550515,1.769072
152,1.987748622894287,2.0012528896331787,0.259553,0.506524,0.280412,0.550515,1.771134
153,1.9812054634094238,2.0001437664031982,0.273998,0.520503,0.280412,0.552577,1.769072
154,1.9830724000930786,1.9990259408950806,0.264678,0.505592,0.280412,0.552577,1.769072
155,1.9802809953689575,1.9979140758514404,0.27027,0.515377,0.280412,0.552577,1.769072
156,1.9807604551315308,1.996803879737854,0.26561,0.501864,0.280412,0.552577,1.769072
157,1.9799156188964844,1.995689034461975,0.26794,0.506058,0.280412,0.552577,1.769072
158,1.9832018613815308,1.994559645652771,0.264212,0.50233,0.280412,0.552577,1.769072
159,1.9805524349212646,1.9934333562850952,0.26794,0.510252,0.282474,0.548454,1.771134
160,1.9772168397903442,1.9923077821731567,0.26561,0.510718,0.282474,0.548454,1.771134
161,1.9796000719070435,1.991190791130066,0.255359,0.507456,0.282474,0.548454,1.771134
162,1.971023440361023,1.9900702238082886,0.263747,0.51165,0.282474,0.540206,1.779382
163,1.9680163860321045,1.988950490951538,0.265144,0.513979,0.278351,0.538144,1.789691
164,1.9688233137130737,1.987837791442871,0.278658,0.520969,0.278351,0.538144,1.789691
165,1.9673782587051392,1.9867253303527832,0.278192,0.531687,0.278351,0.538144,1.789691
166,1.9672398567199707,1.9856210947036743,0.2726,0.524697,0.278351,0.538144,1.789691
167,1.9700050354003906,1.9845201969146729,0.260019,0.513048,0.278351,0.538144,1.789691
168,1.9711272716522217,1.9834203720092773,0.258155,0.519571,0.278351,0.538144,1.789691
169,1.958443284034729,1.982336163520813,0.27726,0.529357,0.278351,0.538144,1.789691
170,1.97813880443573,1.9812724590301514,0.271202,0.522833,0.278351,0.538144,1.787629
171,1.96430242061615,1.980199933052063,0.276328,0.527959,0.282474,0.540206,1.773196
172,1.9609835147857666,1.979121208190918,0.262815,0.519105,0.282474,0.540206,1.775258
173,1.9632441997528076,1.9780528545379639,0.266542,0.50932,0.282474,0.540206,1.775258
174,1.96623694896698,1.9769821166992188,0.260485,0.507456,0.282474,0.540206,1.775258
175,1.9598747491836548,1.9759184122085571,0.266076,0.513514,0.282474,0.540206,1.775258
176,1.9556978940963745,1.9748761653900146,0.264212,0.520969,0.284536,0.542268,1.762887
177,1.96073317527771,1.9738445281982422,0.269804,0.510252,0.286598,0.546392,1.746392
178,1.960284948348999,1.9728062152862549,0.26794,0.527493,0.28866,0.548454,1.738144
179,1.9543973207473755,1.9717535972595215,0.2726,0.529823,0.28866,0.548454,1.738144
180,1.9486362934112549,1.9706922769546509,0.273532,0.521901,0.28866,0.548454,1.738144
181,1.9563345909118652,1.9696319103240967,0.280522,0.517707,0.28866,0.548454,1.738144
182,1.950482726097107,1.9685537815093994,0.270736,0.520503,0.284536,0.548454,1.738144
183,1.9542202949523926,1.9674885272979736,0.271668,0.50932,0.284536,0.548454,1.738144
184,1.951332926750183,1.9664220809936523,0.269804,0.527959,0.284536,0.546392,1.74433
185,1.9484783411026,1.9653486013412476,0.266542,0.520969,0.284536,0.546392,1.74433
186,1.9526339769363403,1.964293122291565,0.27726,0.532153,0.286598,0.550515,1.731959
187,1.954704999923706,1.9632573127746582,0.267008,0.526095,0.286598,0.550515,1.731959
188,1.9516915082931519,1.9622002840042114,0.262815,0.521435,0.286598,0.550515,1.731959
189,1.9462906122207642,1.96113920211792,0.269338,0.531221,0.286598,0.550515,1.734021
190,1.949057698249817,1.960067629814148,0.273532,0.529823,0.286598,0.550515,1.734021
191,1.943807601928711,1.9589896202087402,0.267474,0.522367,0.286598,0.550515,1.734021
192,1.9443559646606445,1.9579051733016968,0.263747,0.511184,0.28866,0.552577,1.723711
193,1.9441752433776855,1.9568439722061157,0.269338,0.525163,0.28866,0.552577,1.723711
194,1.9388153553009033,1.9558136463165283,0.290308,0.531687,0.286598,0.552577,1.725773
195,1.9364428520202637,1.9547685384750366,0.273998,0.534949,0.286598,0.552577,1.723711
196,1.9436628818511963,1.953755259513855,0.263281,0.518173,0.286598,0.558763,1.715464
197,1.9445685148239136,1.9527477025985718,0.262349,0.519105,0.286598,0.558763,1.715464
198,1.9309818744659424,1.951735258102417,0.277726,0.535415,0.286598,0.558763,1.715464
199,1.944101095199585,1.9507349729537964,0.262349,0.529357,0.282474,0.558763,1.723711
200,1.9386087656021118,1.9497287273406982,0.273066,0.513048,0.282474,0.558763,1.725773
201,1.9291095733642578,1.9486987590789795,0.27493,0.523765,0.282474,0.558763,1.725773
202,1.9343622922897339,1.9476503133773804,0.280988,0.527493,0.282474,0.558763,1.725773
203,1.9352344274520874,1.9466195106506348,0.277726,0.533551,0.282474,0.558763,1.725773
204,1.9375841617584229,1.94558584690094,0.271668,0.525163,0.282474,0.558763,1.725773
205,1.9382740259170532,1.9445725679397583,0.262349,0.527493,0.284536,0.558763,1.723711
206,1.9242981672286987,1.9435648918151855,0.27726,0.532153,0.284536,0.558763,1.723711
207,1.9261693954467773,1.9425395727157593,0.273998,0.525629,0.286598,0.560825,1.719588
208,1.9242722988128662,1.9415383338928223,0.290774,0.530755,0.286598,0.560825,1.719588
209,1.9204893112182617,1.9405747652053833,0.271202,0.539143,0.286598,0.560825,1.719588
210,1.9231512546539307,1.9396331310272217,0.27726,0.539143,0.28866,0.562887,1.71134
211,1.928134799003601,1.9386898279190063,0.279124,0.540541,0.292784,0.56701,1.690722
212,1.925789475440979,1.9377233982086182,0.273998,0.532153,0.292784,0.56701,1.690722
213,1.9273452758789062,1.936761498451233,0.273066,0.533551,0.292784,0.56701,1.690722
214,1.9191045761108398,1.9358360767364502,0.266542,0.531687,0.292784,0.56701,1.690722
215,1.9283413887023926,1.9349217414855957,0.276328,0.528425,0.294845,0.569072,1.684536
216,1.9268076419830322,1.9340184926986694,0.280522,0.522367,0.294845,0.569072,1.684536
217,1.9210083484649658,1.933100700378418,0.281454,0.535415,0.292784,0.56701,1.686598
218,1.9168115854263306,1.9321620464324951,0.284716,0.541472,0.292784,0.56701,1.686598
219,1.919753909111023,1.9311867952346802,0.275396,0.540541,0.292784,0.56701,1.686598
220,1.9168161153793335,1.9302022457122803,0.280056,0.532619,0.292784,0.56701,1.686598
221,1.9141311645507812,1.9292207956314087,0.283318,0.533085,0.292784,0.56701,1.686598
222,1.9212502241134644,1.9282795190811157,0.289376,0.542404,0.28866,0.56701,1.692784
223,1.91552734375,1.927338719367981,0.273998,0.527959,0.28866,0.56701,1.692784
224,1.9181530475616455,1.9263947010040283,0.280522,0.536813,0.28866,0.569072,1.68866
225,1.9112467765808105,1.9254486560821533,0.28192,0.543802,0.28866,0.569072,1.68866
226,1.9125300645828247,1.924546480178833,0.275396,0.544734,0.28866,0.569072,1.68866
227,1.905273199081421,1.9236364364624023,0.280988,0.536813,0.28866,0.569072,1.68866
228,1.911242961883545,1.9227476119995117,0.279124,0.546132,0.28866,0.569072,1.68866
229,1.9173967838287354,1.9219083786010742,0.273532,0.534017,0.28866,0.571134,1.684536
230,1.9139025211334229,1.9211010932922363,0.27726,0.537745,0.28866,0.56701,1.68866
231,1.9138413667678833,1.920243263244629,0.26794,0.534949,0.28866,0.56701,1.68866
232,1.9135937690734863,1.9193220138549805,0.282386,0.540075,0.28866,0.569072,1.686598
233,1.904959797859192,1.918378233909607,0.287512,0.5452,0.28866,0.569072,1.686598
234,1.9071332216262817,1.9174598455429077,0.281454,0.539143,0.28866,0.575258,1.680412
235,1.9105939865112305,1.916479229927063,0.287512,0.54753,0.28866,0.579381,1.676289
236,1.9118016958236694,1.9155255556106567,0.27726,0.531221,0.28866,0.579381,1.676289
237,1.9082540273666382,1.9145513772964478,0.282386,0.533551,0.28866,0.579381,1.676289
238,1.9029812812805176,1.9136192798614502,0.27493,0.531221,0.28866,0.579381,1.676289
239,1.900190830230713,1.9126497507095337,0.282386,0.546132,0.290722,0.581443,1.665979
240,1.9044362306594849,1.9116978645324707,0.280988,0.534949,0.290722,0.581443,1.665979
241,1.9049811363220215,1.9107475280761719,0.28891,0.546132,0.290722,0.581443,1.665979
242,1.9006811380386353,1.9097940921783447,0.272134,0.540541,0.290722,0.581443,1.665979
243,1.897537350654602,1.9089025259017944,0.276794,0.530755,0.290722,0.581443,1.657732
244,1.8970054388046265,1.9080201387405396,0.272134,0.532619,0.290722,0.581443,1.657732
245,1.8986356258392334,1.9071261882781982,0.28192,0.537745,0.290722,0.581443,1.657732
246,1.8989078998565674,1.9062700271606445,0.287046,0.551258,0.290722,0.581443,1.657732
247,1.8961955308914185,1.9054088592529297,0.287046,0.553122,0.290722,0.581443,1.65567
248,1.8950746059417725,1.9045374393463135,0.280988,0.537745,0.290722,0.581443,1.65567
249,1.9026408195495605,1.903681993484497,0.287046,0.5452,0.290722,0.581443,1.65567
250,1.8955734968185425,1.9028793573379517,0.275862,0.557782,0.290722,0.581443,1.65567
251,1.8939553499221802,1.9020683765411377,0.2726,0.541938,0.292784,0.585567,1.645361
252,1.8908488750457764,1.9012279510498047,0.292637,0.558248,0.292784,0.585567,1.645361
253,1.886163592338562,1.9004265069961548,0.283318,0.548462,0.294845,0.587629,1.628866
254,1.891556739807129,1.8995472192764282,0.290774,0.551724,0.294845,0.587629,1.628866
255,1.8933024406433105,1.8986376523971558,0.274464,0.540075,0.296907,0.589691,1.614433
256,1.8833768367767334,1.8977007865905762,0.287046,0.54753,0.296907,0.589691,1.610309
257,1.8837239742279053,1.89677095413208,0.29124,0.55452,0.294845,0.589691,1.614433
258,1.892809271812439,1.895815134048462,0.288444,0.54986,0.294845,0.589691,1.612371
259,1.8870432376861572,1.8948650360107422,0.285182,0.550792,0.294845,0.589691,1.612371
260,1.8920860290527344,1.8939001560211182,0.289842,0.546598,0.294845,0.589691,1.612371
261,1.879697322845459,1.8929418325424194,0.289376,0.548928,0.294845,0.591753,1.602062
262,1.8959141969680786,1.892055630683899,0.276328,0.533085,0.294845,0.591753,1.602062
263,1.8870961666107178,1.8912757635116577,0.27726,0.538211,0.294845,0.591753,1.604124
264,1.8847055435180664,1.8905997276306152,0.290774,0.553122,0.294845,0.591753,1.604124
265,1.8794435262680054,1.889937400817871,0.294967,0.563374,0.294845,0.591753,1.604124
266,1.8864006996154785,1.8893582820892334,0.286114,0.555918,0.290722,0.587629,1.620619
267,1.8804852962493896,1.888716459274292,0.29124,0.554986,0.290722,0.587629,1.620619
268,1.8790409564971924,1.8880293369293213,0.28658,0.558248,0.290722,0.587629,1.589691
269,1.8836045265197754,1.88735830783844,0.283318,0.550326,0.290722,0.587629,1.589691
270,1.8842275142669678,1.8865491151809692,0.28192,0.538677,0.292784,0.589691,1.57732
271,1.881411075592041,1.8856364488601685,0.283784,0.529357,0.292784,0.589691,1.57732
272,1.8785345554351807,1.8847440481185913,0.289842,0.557782,0.294845,0.589691,1.575258
273,1.8844701051712036,1.88385808467865,0.280522,0.542404,0.294845,0.589691,1.575258
274,1.8781392574310303,1.8829978704452515,0.281454,0.554054,0.294845,0.589691,1.575258
275,1.8830002546310425,1.8821157217025757,0.296831,0.55685,0.294845,0.589691,1.575258
276,1.8778640031814575,1.881240963935852,0.281454,0.54986,0.294845,0.589691,1.575258
277,1.8813289403915405,1.880428671836853,0.287046,0.540075,0.294845,0.589691,1.573196
278,1.8792780637741089,1.8796577453613281,0.275862,0.544268,0.292784,0.589691,1.575258
279,1.8757972717285156,1.8790072202682495,0.291706,0.552656,0.292784,0.589691,1.575258
280,1.87687087059021,1.878333330154419,0.282386,0.56151,0.292784,0.589691,1.575258
281,1.8807283639907837,1.8777532577514648,0.275396,0.547996,0.292784,0.589691,1.575258
282,1.8682812452316284,1.877219319343567,0.292171,0.561044,0.296907,0.591753,1.583505
283,1.8749659061431885,1.8766839504241943,0.28891,0.550326,0.298969,0.591753,1.581443
284,1.8756595849990845,1.8760688304901123,0.28891,0.565704,0.298969,0.591753,1.581443
285,1.867055058479309,1.8753920793533325,0.286114,0.550326,0.296907,0.587629,1.587629
286,1.879834771156311,1.8746753931045532,0.293569,0.553588,0.296907,0.587629,1.587629
287,1.86479914188385,1.8738833665847778,0.290774,0.555452,0.296907,0.587629,1.587629
288,1.8751282691955566,1.8729918003082275,0.287978,0.55452,0.296907,0.587629,1.589691
289,1.8748929500579834,1.8721858263015747,0.281454,0.557316,0.296907,0.587629,1.589691
290,1.8737319707870483,1.8712389469146729,0.295433,0.550326,0.296907,0.587629,1.591753
291,1.8727537393569946,1.870214819908142,0.289376,0.558714,0.292784,0.581443,1.595876
292,1.8712835311889648,1.8693389892578125,0.280056,0.553122,0.301031,0.581443,1.587629
293,1.8721035718917847,1.8684401512145996,0.289376,0.562442,0.301031,0.581443,1.587629
294,1.865890622138977,1.8676087856292725,0.27959,0.553588,0.301031,0.581443,1.587629
295,1.8674358129501343,1.866908073425293,0.292637,0.560112,0.301031,0.581443,1.587629
296,1.8610279560089111,1.8662968873977661,0.290774,0.558714,0.301031,0.581443,1.587629
297,1.8647428750991821,1.8658127784729004,0.292171,0.55918,0.305155,0.587629,1.573196
298,1.8653697967529297,1.865265965461731,0.278192,0.562442,0.307216,0.589691,1.569072
299,1.8570061922073364,1.8646410703659058,0.292637,0.55918,0.307216,0.589691,1.569072
300,1.8618569374084473,1.8640111684799194,0.292637,0.55685,0.307216,0.589691,1.569072
301,1.8565977811813354,1.8633480072021484,0.296831,0.55685,0.305155,0.587629,1.573196
302,1.8621785640716553,1.8625683784484863,0.289842,0.554054,0.305155,0.591753,1.554639
303,1.858420968055725,1.861694097518921,0.295899,0.56617,0.305155,0.591753,1.554639
304,1.8661738634109497,1.860878586769104,0.28192,0.555452,0.305155,0.591753,1.554639
305,1.8576234579086304,1.860084056854248,0.277726,0.561044,0.303093,0.589691,1.558763
306,1.8579214811325073,1.859301209449768,0.293569,0.560578,0.303093,0.589691,1.558763
307,1.8586114645004272,1.858500361442566,0.28425,0.551258,0.303093,0.589691,1.558763
308,1.8626703023910522,1.8576847314834595,0.287978,0.56151,0.303093,0.589691,1.558763
309,1.8519059419631958,1.8569056987762451,0.281454,0.554986,0.303093,0.589691,1.558763
310,1.8581455945968628,1.8562467098236084,0.27959,0.549394,0.303093,0.589691,1.558763
311,1.8586361408233643,1.8555686473846436,0.282852,0.55918,0.303093,0.589691,1.558763
312,1.8529919385910034,1.8549240827560425,0.292171,0.558714,0.303093,0.589691,1.558763
