epoch,train_loss,val_loss,train_f1,val_f1,val_precision,val_recall
1,1.1163007020950317,1.1245836019515991,0.200458,0.206179,0.121367,0.684536
2,1.1002535820007324,1.1111176013946533,0.199844,0.205832,0.121257,0.680412
3,1.0866219997406006,1.0988540649414062,0.200854,0.206179,0.121367,0.684536
4,1.0753206014633179,1.0877994298934937,0.199958,0.206179,0.121367,0.684536
5,1.0619831085205078,1.0779517889022827,0.199814,0.205832,0.121257,0.680412
6,1.0512011051177979,1.0692923069000244,0.199732,0.206179,0.121367,0.684536
7,1.048962116241455,1.061773419380188,0.199011,0.206179,0.121367,0.684536
8,1.0372992753982544,1.0553607940673828,0.199059,0.203312,0.113159,1.0
9,1.0289266109466553,1.049996256828308,0.199608,0.203312,0.113159,1.0
10,1.0215727090835571,1.0456078052520752,0.199869,0.203312,0.113159,1.0
11,1.0168246030807495,1.0421074628829956,0.199675,0.203312,0.113159,1.0
12,1.0170248746871948,1.0393879413604736,0.199016,0.203312,0.113159,1.0
13,1.0113420486450195,1.037343144416809,0.199549,0.203312,0.113159,1.0
14,1.0087158679962158,1.0358606576919556,0.199434,0.203312,0.113159,1.0
15,1.0064951181411743,1.0348247289657593,0.199436,0.203312,0.113159,1.0
16,1.0060726404190063,1.034125566482544,0.198722,0.203312,0.113159,1.0
17,1.005314826965332,1.0336610078811646,0.198608,0.203312,0.113159,1.0
18,1.0039035081863403,1.0333387851715088,0.198853,0.203312,0.113159,1.0
19,1.0049049854278564,1.0330814123153687,0.198792,0.203312,0.113159,1.0
20,1.0020368099212646,1.0328242778778076,0.198917,0.203312,0.113159,1.0
21,1.0039340257644653,1.0325208902359009,0.198602,0.203312,0.113159,1.0
22,1.0016534328460693,1.0321359634399414,0.198483,0.203312,0.113159,1.0
23,1.0034550428390503,1.031653642654419,0.198686,0.203312,0.113159,1.0
24,1.0003106594085693,1.0310630798339844,0.198353,0.203312,0.113159,1.0
25,1.0010197162628174,1.0303677320480347,0.197887,0.203312,0.113159,1.0
26,0.9997077584266663,1.0295804738998413,0.198285,0.203312,0.113159,1.0
27,0.998359739780426,1.0287150144577026,0.198261,0.203312,0.113159,1.0
28,0.9973313212394714,1.0277875661849976,0.197977,0.203312,0.113159,1.0
29,0.9973303079605103,1.0268217325210571,0.198115,0.203312,0.113159,1.0
30,0.9967631697654724,1.0258378982543945,0.197986,0.203312,0.113159,1.0
31,0.9937912225723267,1.02485191822052,0.198147,0.203312,0.113159,1.0
32,0.9961503148078918,1.02388596534729,0.198273,0.203312,0.113159,1.0
33,0.9943436980247498,1.022951602935791,0.198544,0.203312,0.113159,1.0
34,0.9935616254806519,1.022060751914978,0.19848,0.203312,0.113159,1.0
35,0.9915152192115784,1.0212199687957764,0.198602,0.203312,0.113159,1.0
36,0.9906783699989319,1.020432710647583,0.19841,0.203312,0.113159,1.0
37,0.9910242557525635,1.0197014808654785,0.198478,0.203312,0.113159,1.0
38,0.9878982305526733,1.0190229415893555,0.198905,0.203312,0.113159,1.0
39,0.9897082448005676,1.018395185470581,0.19882,0.203312,0.113159,1.0
40,0.9872244000434875,1.0178117752075195,0.19915,0.203312,0.113159,1.0
41,0.986817479133606,1.0172665119171143,0.199251,0.203312,0.113159,1.0
42,0.9852831959724426,1.0167531967163086,0.199294,0.203312,0.113159,1.0
43,0.985867440700531,1.0162662267684937,0.199976,0.203312,0.113159,1.0
44,0.983159601688385,1.0157994031906128,0.199117,0.203312,0.113159,1.0
45,0.9846303462982178,1.0153484344482422,0.198786,0.203312,0.113159,1.0
46,0.9860466122627258,1.0149080753326416,0.199503,0.203312,0.113159,1.0
47,0.9833642840385437,1.01447594165802,0.199447,0.203312,0.113159,1.0
48,0.9827073812484741,1.0140506029129028,0.199494,0.203312,0.113159,1.0
49,0.9818704724311829,1.0136302709579468,0.199533,0.203312,0.113159,1.0
