ligand_id,input_path,output_path,num_atoms,num_branches,num_replacements,replacements,status
CAND_0f3be20d2f,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_0f3be20d2f.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_0f3be20d2f.pdbqt,37,11,4,CG->C:2;G0->C:2,cleaned
CAND_0fb8e6bd37,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_0fb8e6bd37.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_0fb8e6bd37.pdbqt,45,13,4,CG->C:2;G0->C:2,cleaned
CAND_0fcbc91443,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_0fcbc91443.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_0fcbc91443.pdbqt,36,1,0,,cleaned
CAND_0ff829bf6a,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_0ff829bf6a.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_0ff829bf6a.pdbqt,43,1,0,,cleaned
CAND_1063ab7ebf,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_1063ab7ebf.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_1063ab7ebf.pdbqt,41,14,4,CG->C:2;G0->C:2,cleaned
CAND_1156c34ecd,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_1156c34ecd.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_1156c34ecd.pdbqt,44,1,0,,cleaned
CAND_11876d3342,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_11876d3342.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_11876d3342.pdbqt,38,12,8,CG->C:4;G0->C:2;G1->C:2,cleaned
CAND_119af45441,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_119af45441.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_119af45441.pdbqt,41,9,4,CG->C:2;G0->C:2,cleaned
CAND_11b54f0ee4,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_11b54f0ee4.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_11b54f0ee4.pdbqt,48,10,4,CG->C:2;G0->C:2,cleaned
CAND_11dab482c1,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_11dab482c1.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_11dab482c1.pdbqt,39,14,4,CG->C:2;G0->C:2,cleaned
CAND_12390a9902,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt\CAND_12390a9902.pdbqt,C:\Users\srira\Desktop\new_plan\EMD_V5_2_Hybrid\06_docking\v5_5_pocket_guided\ligands_pdbqt_vina_gpu_clean\CAND_12390a9902.pdbqt,36,9,4,CG->C:2;G0->C:2,cleaned
