ligand_id,input_path,output_path,num_atoms,num_branches,num_replacements,replacements,status
CAND_35c4ee0b09,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_35c4ee0b09.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_35c4ee0b09.pdbqt,48,10,4,CG->C:2;G0->C:2,cleaned
CAND_38de1fc846,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_38de1fc846.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_38de1fc846.pdbqt,35,9,4,CG->C:2;G0->C:2,cleaned
CAND_396f994be3,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_396f994be3.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_396f994be3.pdbqt,45,8,4,CG->C:2;G0->C:2,cleaned
CAND_3b164e0480,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_3b164e0480.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_3b164e0480.pdbqt,43,8,4,CG->C:2;G0->C:2,cleaned
CAND_3c64f44e76,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_3c64f44e76.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_3c64f44e76.pdbqt,45,8,4,CG->C:2;G0->C:2,cleaned
CAND_3fc0103e7e,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_3fc0103e7e.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_3fc0103e7e.pdbqt,45,17,8,CG->C:4;G0->C:2;G1->C:2,cleaned
CAND_423486dce5,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_423486dce5.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_423486dce5.pdbqt,36,10,4,CG->C:2;G0->C:2,cleaned
CAND_44327fe5a9,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_44327fe5a9.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_44327fe5a9.pdbqt,35,9,4,CG->C:2;G0->C:2,cleaned
CAND_453a8d70ca,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_453a8d70ca.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_453a8d70ca.pdbqt,40,10,4,CG->C:2;G0->C:2,cleaned
CAND_454e8d3cd4,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt/CAND_454e8d3cd4.pdbqt,/content/EMD_V5_3_vina_gpu_extract/06_docking/v5_3_model_guided/ligands_pdbqt_vina_gpu_clean/CAND_454e8d3cd4.pdbqt,43,8,4,CG->C:2;G0->C:2,cleaned
