epoch,train_loss,val_loss,global_step
40,10.150018581792937,9.930520113124404,4099
41,9.885399391902752,9.757558079653007,4298
42,9.911801722780543,10.04734577134598,4497
43,9.912149362228623,10.176306380782016,4696
44,10.25998158311125,11.30294948400453,4895
45,10.170176423374732,9.309269650037898,5094
46,9.82847736708483,10.34549514637437,5293
47,9.85114885095376,9.183968322221624,5492
48,9.854830382457331,9.318784835726715,5691
49,9.336068497231258,10.008474677108055,5890
50,9.621954716629718,9.724185056464616,6089
51,9.972167623702006,10.05588450542716,6288
52,10.483754409617514,10.449252594348996,6487
53,9.895126886703261,9.6214551260305,6686
54,9.572880547250335,9.824299535085988,6885
55,10.230152831005691,10.075342322504797,7084
56,9.858465230644647,9.264258007670557,7283
57,9.725338558455807,10.081223426863204,7482
58,9.68544893887774,10.442993263865626,7681
59,9.762412627138684,9.987550835276759,7880
60,9.99558254941624,9.85166320135427,8079
61,9.880356547820508,10.067375626674918,8278
62,9.653961323014455,8.899521356405215,8477
63,9.858423189901227,8.982024314791657,8676
64,9.7969717847642,10.071515382722367,8875
65,9.77954434749469,9.60691862328108,9074
66,9.71053970279406,10.359987691391346,9273
67,9.65308652091865,9.79353516046391,9472
68,9.865490732480533,9.831369754879974,9671
69,9.419608905686806,10.608628921730574,9870
70,9.80856601556941,8.922111078750255,10069
71,9.278772035435816,10.382572822792586,10268
72,9.714656420089492,9.469915168229925,10467
73,9.806748387801587,9.78730023184488,10666
74,9.670398616311537,9.655188566030459,10865
75,10.103964997296357,9.452124368312747,11064
76,9.632838873407948,10.85046713851219,11263
77,9.711690349195472,10.127406197924946,11462
78,10.051372300440343,9.547458304915317,11661
79,9.997841947641804,9.87396697110908,11860
80,9.854006205371876,10.617733334386072,12059
81,9.847765275581398,9.513610008151032,12258
82,9.650207085825091,9.012975093930267,12457
83,9.686197431842286,9.41350601994714,12656
84,9.670664001349827,8.916524194007696,12855
85,9.273608264012552,9.466527572897977,13054
86,9.895736648808771,9.365510912828666,13253
87,9.687673460898088,9.141958846602328,13452
88,9.619810927453353,9.840496196303256,13651
89,9.703795687038095,9.805081228877222,13850
90,10.011163209550944,8.321489561435788,14049
91,9.803491573237894,9.711246335229209,14248
92,9.876582850163905,9.662107029626537,14447
93,9.488629044000827,9.6240130025287,14646
94,9.397004473748519,9.831969444141832,14845
95,9.610989816224755,10.476907452871632,15044
96,9.410635204171415,8.859137318855108,15243
97,9.418325339130421,9.14190885632537,15442
98,9.697916651490944,9.726340781810672,15641
99,10.048543269909805,9.354982032332309,15840
100,9.244808538475228,9.293827167777128,16039
101,9.406016004744487,9.032774015914562,16238
102,9.57520337200644,9.320746954097304,16437
103,9.453878031304134,9.070352909176849,16636
104,9.405455319725688,9.664480808169342,16835
105,9.52651046987754,9.314948824949044,17034
106,9.838958963077872,10.079815603965937,17233
107,9.760568701442162,9.689967599025993,17432
108,9.589403108136738,10.286294427028922,17631
109,9.51246459879468,10.753517117611198,17830
110,9.990747463763059,9.572878399560619,18029
111,9.55548994625034,9.050016896669256,18228
112,9.342311705776195,8.963523116222648,18427
113,9.488097127358518,9.114922845086387,18626
114,9.170929870413776,10.003147169601085,18825
115,9.525791409027637,9.345280170440674,19024
116,9.31239950716795,8.490630493607632,19223
117,9.874631948806533,8.761959020481553,19422
118,9.36991288074896,10.26127393855605,19621
119,9.304762539552085,10.737274524777435,19820
120,9.42318192199247,10.489294135293296,20019
121,9.880657865773493,9.687008985253268,20218
122,9.1839787277145,8.887913016385811,20417
123,9.41149716041795,9.472839255665624,20616
124,9.431398229982385,8.932577293972637,20815
125,9.322382647787506,8.623646120692408,21014
126,9.24663127726646,9.656034380890603,21213
127,9.01996072093446,8.788273617278698,21412
128,9.523800040010231,9.721289440642956,21611
129,9.199271851448557,9.195504665374756,21810
130,9.606318775732912,9.848878095316332,22009
131,9.043498758095593,9.390651237132937,22208
132,9.237800007489458,9.972010191096816,22407
133,9.724253437626901,9.866720393646595,22606
134,9.218615472017222,8.660494399625202,22805
135,9.254534812428844,9.439571269722872,23004
136,9.551346974157209,9.219631050908289,23203
137,9.16726237685237,9.196911612222362,23402
138,9.35364536783803,8.775931391605111,23601
139,9.060859114680458,9.838942062023074,23800
140,9.21127568776883,9.287430924038555,23999
141,9.173004763809281,8.680035197457602,24198
142,9.36842397828797,9.075056907742523,24397
143,9.463784537722717,8.71211655749831,24596
144,9.342792597248327,9.842702244603357,24795
